department,program,lib_link,year,thesis_in_that_year,thesis_link,pdf_link,author,title,published,description,series,language,summary,note,filetype,localnote,access,systemdet,subject,alttitle,program_sampling
Sociology,MSc,https://tinyurl.com/socma2020,2020,27,https://sierra.ceu.edu/record=b1429143,http://www.etd.ceu.edu/2020/golusin_slobodan.pdf ,"Golusin, Slobodan",Formation of informal and decentralized value chains through platform outsourcing : exploring the network of Serbian UpWork freelancers / Slobodan Golusin,"Budapest : Central European University, 2020",62 p. ; 30 cm.,CEU Sociology Department master theses ; 2020/8,English,"This thesis explored the case of the formation of value chains through the outsourcing of work via digital labour markets. It illuminates on how these value chains span beyond digital labour market UpWork and are built on the local relations within Serbian freelance network. The main question of the thesis is how the organization of production specific to UpWork, as well as locally conditioned market positions and structural differences of freelancers, shape the relations within this network. Firstly, I analyse how the value chains span into the network through re-outsourcing of work between freelancers and enable value capture for individual freelancers. Those who outsource act as suppliers in the value chains and depend on trust relations with their subcontractors, while those subcontractors who are in weak structural positions both on the platform and domestic labour market depend on them for access to jobs and platform reputation. Secondly, I show how the network is utilized for learning, as well as social and emotional support. As freelancers act as fragmented suppliers of which majority is in extremely precarious positions and acts mostly as a labour reserve army, these processes are needed for their further engagement in the market. Furthermore, due to structural constraints, this network lacks capacities for political organization and it serves primarily individuals to compete within these value chains. Thus, the processes of value creation and capture, learning and cooperation, as well as relational work, which are regularly integrated into firm value chains, are in the case of platform outsourcing dispersed and decentralized throughout the freelance networks constructed from the bottom-up.",Degree: MA,PDF file (1015k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Political science,MA,https://tinyurl.com/polma2018,2018,43,https://sierra.ceu.edu/record=b1399930,http://www.etd.ceu.edu/2018/toth_gergo.pdf ,"Tóth, Gergő",Social interaction as cues : a low-cost tool for changing political opinion / Gergő Tóth,"Budapest : Central European University, 2018",67 p. ; 30 cm.,CEU Political Science Department master theses ; 2018/42,English,"Social science literature has long investigated the relationship between political behavior and social networks, however, it is usually hard to excavate a true causal relationship between political views and social affiliations. The common feature of political science literature related to a social network is that they mostly focus on whether the individuals’ political views and their social networks co-evolve or not. According to the recent literature, social networks do not simply evolve but also stimulate our political behavior. Most of the literature finds that people seek individuals with similar political views to be friends with and individuals who often talk to each other tend to be more similar over time Although there is broad agreement on that while our social network is dynamically flourishing, it is also affecting our attitude, but the process of this impact is still not clear. This research aims to examine the channel between social affiliations to the changes of political behavior. The research uses network data collected from experiments to specify the social affiliation effects on the change of political views under a deliberation process. The results suggest that, on the one hand, political opinion significantly influences friendship network formation, which fosters social homophily. On the other hand, a significant spillover effect has found on the likelihood of political opinion change, where the spillover effect strongly depends on the peers’ network centrality.",,PDF file (1517k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Legal studies,MA,https://tinyurl.com/legalma2019,2019,50,https://sierra.ceu.edu/record=b1424437,http://www.etd.ceu.edu/2020/zeljko_darija.pdf ,"Zeljko, Darija",Gender stereotyping in cases of sexual violence? : an analysis of regional human rights courts and Croatia / Darija Zeljko,"Budapest : Central European University, 2019",128 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2019/42,English,"This thesis explores an emerging issue of gender stereotyping in cases of sexual violence, with the emphasis on rape. One of the main aims of this research is to analyze to which extent the harmful gender-based stereotypes are still present when it comes to cases of sexual violence and what are the most effective ways of combating them. Topic is important since gender-based myths and stereotypes hinder women’s access to justice and in long term contribute to their re-victimization, especially in cases that are so delicate as rape. Research focuses on the practice and jurisprudence of the regional human rights bodies (namely, the European Court of Human Rights, the Inter-American Court of Human Rights and the Inter-American Commission on Human Rights) in addressing and combating harmful gender-based stereotypes. The aim of this comparative analysis is to answer which regional actor went the furthest in addressing and contesting gender-based stereotypes in general, particularly those that are prevalent in rape cases. Also, establishing their ‘best practices’ is important because such practice can be useful to states which are not successful in fulfilling their international and regional obligations in this specific field. My personal contribution to this topic comprises of detailed and critical assessment of the de iure and de facto situation regarding sexual violence in Croatia. If analysis shows that there are some deficiencies in domestic (Croatian) legislation and/or institutional practice, then those international standards and developments can be used as useful guidance in order to eliminate them.",Degree: MA,PDF file (1611k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Political science,MA,https://tinyurl.com/polma2019,2019,46,https://sierra.ceu.edu/record=b1423959,http://www.etd.ceu.edu/2019/iqbal_muhammad.pdf ,"Iqbal, Muhammad Osama",Religion and the liberal state : liberal neutrality in the post-secular age / Muhammad Osama Iqbal,"Budapest : Central European University, 2019",67 p. ; 30 cm.,CEU Political Science Department master theses ; 2019/46,English,"Religion has traditionally been an important consideration in political philosophy. The most recent milestone in political theory and practice, with regards to religion, was achieved during the 17th century i.e. secularism. However, after the recent religious resurgence in public and political affairs throughout the world, the issue of regulating religion has reemerged as a challenge to contemporary liberal democracies. Therefore, the puzzle that liberalism’s basic architecture and secularism as a basic pillar of achieving religious toleration were specifically solutions to specific provincial (European) issues, increases the salience of religion today and demands a reevaluation of the basic tenets of this debate. This thesis argues, that due to certain blind spots in Liberal Political Thought’s (LPT) understanding of religion, LPT’s secularism promises to uphold liberal neutrality (neutrality of the state towards ethical conceptions) universally, however, secularism, due to its Christian-inflicted history and origins, requires a reconceptualization in order to uphold the ideal of liberal neutrality.",,PDF file (501k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
IR,MA,https://tinyurl.com/iresma2020,2020,39,https://sierra.ceu.edu/record=b1429246,http://www.etd.ceu.edu/2020/connolly_alexander.pdf ,"Connolly, Alexander Robert",Canadian rangers : a space for the hybridization of governmental and indigenous security discourses / Alexander Robert Connolly,"Budapest : Central European University, 2020",49 p. ; 30 cm.,CEU International Relations Department master theses ; 2020/12,English,"Derived from the Pacific Coast Rangers, who were created in the latter years of the Second World War, the present Canadian Rangers, who operate in the North, are a military force of mainly Indigenous individuals, with many from the northern provinces being Inuit. Thus, while the Rangers are technically a member of the Canadian Forces, their unique membership with the northern communities separates them from traditional army discourse. The role of the Canadian Rangers in the Arctic theatre is to provide a continuous sovereign presence in the north and assist in the training of southern troops on how to survive the gruelling conditions of the Arctic. However, they also assist the everyday lives of Inuit and Indigenous communities where they are stationed. The below project will illustrate how the interaction of the Inuit and the Canadian Forces within the Canadian Rangers acts as a space for a ‘hybridization’ of security through the actions of Arctic training exercises and patrol missions",Degree: MA,PDF file (432k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
IR,MA,https://tinyurl.com/iresma2019,2019,40,https://sierra.ceu.edu/record=b1421589,http://www.etd.ceu.edu/2019/ilardo_matteo.pdf ,"Ilardo, Matteo Giuseppe",Corporate power analysis : a governmental approach to the study of the corporate social responsibility system of governance / Matteo Giuseppe Ilardo,"Budapest : Central European University, 2019",61 p. ; 30 cm.,CEU International Relations Department master theses ; 2019/21,English,"Multinational Corporations (MNCs) are tremendously involved into every major societal challenge of today. With governments struggling in addressing major global issues, society is now increasingly calling in the private sector to do so by asking for companies to promote positive social change. Corporate Social Responsibility (CSR) embodies this new position of business in society and makes corporations no longer mere objects of regulation but rather political actors themselves involved in the definition and establishment of rules and norms. The scope of this thesis is to investigate nature and scale of MNCs’ political authority in the international system through the analysis of the CSR regime to provide for a better understanding of these new forms of governance. Yet, for this to be possible, a context-specific study of power is needed. Following a power analysis in which different power considerations are connected to different possible reasons for MNCs’ compliance with socially-responsible policies, CSR is here interpreted as a system of self-discipline and conformity from which MNCs result being both empowered and constrained. CSR – a by-product of the broader neoliberal regime of governmentality – by redefining the boundaries between public and private, invests firms with political authority while at the same time reinventing their social role in a way that the resulting system of governance ultimately both governs through and consists of the very success of its discourse in the global economy.",Degree: MA,PDF file (682k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Philosophy,MA,https://tinyurl.com/philma2020,2020,15,https://sierra.ceu.edu/record=b1429127,http://www.etd.ceu.edu/2020/kovacevic_duje.pdf ,"Kovacevic, Duje","Assisted dying, depression and autonomy : a case against self-determination / Duje Kovacevic","Budapest : Central European University, 2020",66 p. ; 30 cm.,CEU Philosophy Department master theses ; 2020/9,English,"Severely depressed people are allowed to die with assistance in only four countries in the whole world. Those who advocate for it claim that any seriously ill adult should have the opportunity to die with assistance through their right to self-determination – the right to determine what is in their best interest. Those who oppose it claim that depression makes patients non-autonomous and incompetent of making end-of-life decisions. In this thesis I argue that assisted dying should be available to severely depressed people. However, I disagree with both of the camps. I argue that the self-determination model is not adequate because it is either practically unlimited or it fails to achieve its function. Alternatively, I propose the consent model of autonomy on which patients merely authorize the doctors to assist them in dying, while the patient’s best interest is determined objectively by the doctors.",Degree: MA,PDF file (469k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Legal studies,MA,https://tinyurl.com/legalma2018,2018,60,https://sierra.ceu.edu/record=b1399529,http://www.etd.ceu.edu/2018/sijoria_siddharth.pdf ,"Sijoria, Siddharth","Unconstitutional constitutional amendment : limiting amendment power in India, Colombia and Benin / Siddharth Sijoria","Budapest : Central European University, 2018",62 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2018/27,English,"This thesis presents an overview of the Doctrine of Unconstitutional Constitutional Amendments as invoked by the Constitutional Courts of India, Colombia and Benin. The application of the doctrine impliedly restricts the power of legislature to amend the basic elements that constitutes the identity of the Constitution. The invocation of the doctrine has been criticized as being undemocratic since it limits the power of the Parliament to amend the Constitution despite any express limitation in the Constitution. However, I will argue that the criticism is misplaced as the doctrine has a constitutional basis and represents the true nature of democracy. Moreover, the application of the doctrine has been employed to control abuse of amendment power by governments to secure permanency in office.",Degree: MA,PDF file (993k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Legal studies,MA,https://tinyurl.com/legalma2020,2020,78,https://sierra.ceu.edu/record=b1429009,http://www.etd.ceu.edu/2020/gashaw_temelso.pdf ,"Gashaw Getahun, Temelso",Countering online hate speech through legislative measure : the Ethiopian approach in a comparative perspective / Temelso Gashaw Getahun,"Budapest : Central European University, 2020",57 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2020/26,English,"It is almost self-evident that the phenomenon of online hate speech is on the rise. Meanwhile, governments around the world are resorting to legislative measures to tackle this pernicious social problem. This Capstone thesis has sought to offer an overview of these legislative responses to online hate speech in four different jurisdictions and unravel their implication on the right to freedom of expression. Using a comparative methodology, the research describes how the regulation of social networking platforms in relation to hate speech is being approached by the Council of Europe, German, the United States of America and Federal Democratic Republic of Ethiopia. It tests the hypothesis that legal frameworks for moderation of user-generated online content can have a more detrimental effect for freedom of speech in semi-democratic countries like Ethiopia than in developed liberal democracies. Findings of this project regarding the recently enacted Ethiopian Hate Speech and Disinformation Prevention proclamation will offer some guidance for The Council of Ministers in the course of adopting implementing regulation.",Degree: MA,PDF file (776k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Legal studies,MA,https://tinyurl.com/legalma2018,2018,60,https://sierra.ceu.edu/record=b1400115,http://www.etd.ceu.edu/2018/smith_alexandra.pdf ,"Smith, Alexandra Marie",Absent justice : an argument for trial in absentia after the death of the defendant in cases of gross human rights violations / Alexandra Marie Smith,"Budapest : Central European University, 2018",64 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2018/42,English,"This thesis proposes continuing trials in absentia as an alternative to closing proceedings after the death of the defendant in cases of gross human rights violations. The proposal is viewed as part of an expanding array of mechanisms aimed at guaranteeing victims rights. I ground the proposal in an understanding of the goals of transitional justice, and the alternative measures available to meet these goals. Coming to a final verdict in an international criminal trial is an important step toward meeting transitional justice goals including the utilitarian and retributive goals achieved through ruling on liability, and symbolic justice for victims. In general, trial in absentia is viewed as acceptable by international and regional human rights courts if safeguards are met. Different international tribunals have approached trial in absentia with varying degrees of tolerance. This thesis examines international and regional standards surrounding trial in absentia, including case-law from the Human Rights Committee (HRC), International Criminal Court (ICC), International Criminal Tribunal for the Former Yugoslavia (ICTY), International Criminal Tribunal for Rwanda (ICTR), and European Court of Human Rights (ECtHR), and concludes that partial in absentia trials will likely continue to be permitted in international law. This thesis devotes a separate chapter to analysis of trial in absentia at the International Military Tribunal (IMT) and the Special Tribunal for Lebanon (STL), the Statutes of which explicitly allow for proceedings in the absence of the defendant. Despite the strong tradition dictating that a trial should end upon the death of defendant, legal theory and precedent shows that international criminal law allows for some procedural flexibility in favor victim’s rights, due to the gravity of international core crimes and the sui generis nature of international tribunals. In order to establish guidelines surrounding when flexibility can occur, this thesis examines international law in the frame of Packer’s two models, as well as the work of Damaska and Megrét, and case-law from the European Court of Human Rights. The thesis concludes by examining how trial in absentia—usually resulting from the flight of the defendant, the defendant’s refusal to appear at his or her trial, the defendant’s disruption of the courtroom, or serious medical needs of the defendant—can apply to cases where the defendant has died, without violating human rights norms. This thesis ultimately advocates for the adoption of a waiver system in which the defendant may agree to the continuation of his or her trial after death.",Degree: MA,PDF file (666k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Sociology,MSc,https://tinyurl.com/socma2020,2020,27,https://sierra.ceu.edu/record=b1429134,http://www.etd.ceu.edu/2020/achitsa_annabella.pdf ,"Mutsiambo, Annabella Analo Achitsa",Remittance-development nexus : the policy and political narratives of migrant remittances in Kenya / Annabella Analo Mutsiambo Achitsa,"Budapest : Central European University, 2020",79 p. ; 30 cm.,CEU Sociology Department master theses ; 2020/1,English,"Traditional remittances are funds transferred by migrants to their country of origin as a form of obligation to financially sustain their dependents back home. Remittances today however have gained increasing exposure from the international, regional and national communities when linked to development of nations. The purpose of this study is to bridge the existing knowledge gap with regard to understanding the ‘journey’ governments in the third world have walked to embrace what started as remittances by migrants to sustain their families in their origin country into a major resource input into the economic, social and political development of these countries. The focus of the study is narrowed down on providing a holistic policy and state representation of migrant remittances as perceived and understood by these developing countries and the remittances received where Kenya is selected as the geographical focus of the study. Utilizing discourse analysis to analyze key documents published by the Kenyan government and others by the Kenyan government in partnership with regional and international organizations, where key features depicting and propagating the policy and political remittances narrative in Kenya were identified. That is, there is a continuous recognition and incorporation of Kenyan migrants into the Kenyan economic, social and political sphere, a created and continuously sustained bounded social space of interaction between Kenyan migrants and the Government of Kenya, and remitting obligations are seen to be changing from traditional moral obligations to market-based remitting. There is also identity creation for migrants by the state through migrant engagement policies, initiatives and national development projects and finally the role Kenya plays in sustaining the remittance – development rhetoric.",Degree: MA,PDF file (1091k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
School of public policy,MA,https://tinyurl.com/sppma2020,2020,24,https://sierra.ceu.edu/record=b1428443,http://www.etd.ceu.edu/2020/medenica_mirko.pdf ,"Medenica, Mirko",Open border policy and Western Balkans : policy option for regions economic and reform fatigue? / Mirko Medenica,"Budapest : Central European University, 2020",47 p. ; 30 cm.,CEU School of Public Policy master theses ; 2020/15,English,"The Western Balkans region is currently in a political and social vacuum. For two decades, the process of joining the European Union has been a driving force in institutional, political and economic reforms. European enlargement fatigue has led to both economic and reform fatigue in the countries of the region. As a consequence of slowdown of reforms and weak economy, a large number of citizens is emigrating in developed countries. Labor shortages and brain drain are becoming an obstacle to economic development and the region is failing to reach growth rates that would bring it closer to European Union countries. In order to get out of this stalemate, a radical turn is needed, both in terms of initiative for change and in terms of solutions. With the lack of interest of European Union for the region, it is up to countries of the region to take the initiative. The idea of open borders in the region is a possible solution that would alleviate directly the economic and demographic problems and indirectly political problems faced by the countries of the region.",Degree: MA,PDF file (665k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Gender studies,MA,https://tinyurl.com/genderma2019,2019,35,https://sierra.ceu.edu/record=b1423196,http://www.etd.ceu.edu/2019/ang_jona-marie.pdf ,"Ang, Jona Marie Pango",Women Overseas Filipino Workers (OFWs) in Hungary : a feminist Global Political Economy (GPE) analysis / Jona Marie Pango Ang,"Budapest : Central European University, 2019",95 p. ; 30 cm.,CEU Gender Studies Department master theses ; 2019/32,English,"This thesis is an exploratory study about women Overseas Filipino Workers (OFWs) that poses the main questions: What factors contributed to the women’s decision to migrate to Hungary? What were the migration-related issues encountered by the women in dealing with the Philippine and Hungarian governments? What are the challenges of living and working in Hungary, and how do Filipina migrant workers address them? How does identity figure in these challenges and the women’s responses to them? In making the above inquiries, the thesis not only broadens the discussion on Filipinas employed abroad in terms of occupation and geographical location, but also challenges essentialist narratives in existing literature on women OFWs. The research was enriched by drawing on the accounts of ten women OFWs in Hungary of different ages, civil status, occupations, and socio-economic backgrounds, with a view to find out as much as possible about their motivations and aspirations. This is important because studies or articles on women OFWs need to account for diverse jobs, personalities, individual circumstances leading to migration, and lived experiences that go beyond abuse, exploitation, or violence to have a fuller view of the women’s complexities.  In order to analyze the information gathered from the women interviewees, a Feminist Global Political Economy (GPE) framework was used. This framework utilizes the feminist perspective to examine the situation of the women OFWs within the global political economy, which involves different actors and elaborate domestic-international, private-public, local-global, and south-north interactions. Concepts from intersectional and post-colonial theories were also incorporated to account for intersecting gender, race, and class identities of Filipinas as women of color, Asians, and “Third World women.”  The thesis will show that “Filipinas” and “overseas Filipina workers” are not homogeneous categories and they have various reasons for leaving the Philippines and residing in Hungary, as well as various ways of responding to challenges posed by transnational labor migration. The women OFWs contend with restrictive state power in the form of regulated entry, residence, and exit, along with the discourse of the Philippine government that constructs them as objects that are naturally meant to be marketed as overseas labor. Filipinas in Hungary deal with gendered and racialized notions of who they are as women, workers, and partners. They also encounter racism and issues with migration and employment. However, In the milieu of neoliberal globalization where state and transnational business interests prevail, the women have had to rely on themselves and their informal networks for survival and development given the lack of support or services offered by the Philippine and Hungarian governments.",Degree: MA,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Mathematics,MA,https://tinyurl.com/mathma2018,2018,3,https://sierra.ceu.edu/record=b1318711,http://www.etd.ceu.edu/2018/mate_balint.pdf ,"Máté, Bálint Ádám",Logarithmic Hodge theory on line bundles / Bálint Ádám Máté,"Budapest : Central European University, 2018",43 p. ; 30 cm.,CEU Department of Mathematics master theses ; 2018/2,English,"This thesis intends to serve as an introduction to Hodge theory in the simplest possible setting: our base manifold is a compact Riemann surface Σ without boundary, the vector bundle E → Σ is the trivial complex line bundle. In this setup the Betti, the de Rham and the Dolbeault groupoids are introduced and their equivalence is investigated. The proof of the equivalence of the de Rham and Dolbeault groupoids uses the existence of harmonic metrics with respect to a connection D on E. The thesis concludes with the generalisation of the existence of such metrics to the case where the connection is no longer smooth but has logarithmic singularities, and the weight of the associated local system vanishes.",Degree: MSc,PDF file (410k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Legal studies,MA,https://tinyurl.com/legalma2019,2019,50,https://sierra.ceu.edu/record=b1424435,http://www.etd.ceu.edu/2020/stoehr_madeleine.pdf ,"Stoehr, Madeleine Stella",Is the prohibition of modern slavery protecting minors? : an analysis of the United Kingdom and Germany before the backdrop of international human rights law / Madeleine Stella Stoehr,"Budapest : Central European University, 2019",88 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2019/40,English,"Modern slavery is a universal phenomenon and nevertheless is invisible to most people. In 2016, the Global Slavery Index estimated 40,3 million people living in modern slavery globally (71% female and 29% male). Modern slavery is a hidden crime that arises in the present-day society and violates several human rights: The right to human dignity and personal integrity, the prohibition of slavery or servitude, the prohibition of torture or cruel, inhuman or degrading treatment or punishment, etc. Modern slavery is an ‘umbrella term’ that covers forced labor, sexual exploitation, domestic servitude, debt bondage, human trafficking, descent-based slavery, organ harvesting, or forced and early marriage. This thesis provides an overview of the existing legal response to modern slavery in the United Kingdom, Germany and international human rights law. The main objective of this research is to evaluate the effective protection of minors under the existing legal framework combating modern slavery. It evaluates the issue under the European Court of Human Rights and the United Nations.",Degree: MA,PDF file (890k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Environmental sciences,MSc,https://tinyurl.com/envma2018,2018,22,https://sierra.ceu.edu/record=b1401928,http://www.etd.ceu.edu/2018/caimanque_daniela.pdf ,"Caimanque, Daniela Cristina",Is the distributed generation law effective? : the case of the Chilean residential solar energy / Daniela Cristina Caimanque,"Budapest : Central European University, 2018",95 p. ; 30 cm.,CEU Department of Environmental Sciences & Policy master theses ; 2018/6,English,"In Chile, the number of projects interconnected by solar photovoltaic (PV) systems under the Law 20571 - Distributed Generation has been increasing over the last years. However, it is not clear whether these improvements are desirable for a country with high irradiation for solar energy. The study aims to develop a better understanding of the deployment of residential solar energy in Chile, focusing on the Distributed Generation Law. The method chosen to pursue this objective comprises two different elements: First, a comparison of the Chilean deployment of residential solar energy with the success case of the State of California. Secondly, a Strengths, Weaknesses, Opportunities and Threats (SWOT) analysis of the Distributed Generation Law. Results show that external factors make the Law more effective than internal factors. External factors detected are: i. Decreasing cost of solar PV systems ii. International awareness about global warming and the promotion of green technologies. In contrast, an internal factor is the Net Billing scheme, because for owners of solar PV systems, the scheme is not economically attractive. Results also confirm that the development of residential solar energy in Chile is increasing, however, is spread is unequal socially and geographically. The recommendation is to transform the solar residential market in Chile in the same way as in the State of California.",Degree: MSc,PDF file (1982k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Sociology,MSc,https://tinyurl.com/socma2019,2019,27,https://sierra.ceu.edu/record=b1419944,http://www.etd.ceu.edu/2019/cankurt_ilkin.pdf ,"Cankurt, Ilkin","The limits of Roma upward mobility : urban agency in the Tuzcu neighborhood of Izmir, Turkey / Ilkin Cankurt","Budapest : Central European University, 2019",61 p. ; 30 cm.,CEU Sociology Department master theses ; 2019/7,English,"This thesis focuses on the constraints and contingencies to upward mobility of Roma in the spatially segregated neighborhood of Tuzcu in Izmir, Turkey. Based on five-month-long ethnographic fieldwork, this thesis shows the spatial dynamics in the neighborhood, where economic change and urban transformation limit career paths and residential mobility. Furthermore, this thesis reveals the effect of neighborhood on habitual dispositions of Tuzcu residents such as language incompetency, taste and gestures which are visible stigma signs of Tuzcu Roma. These aspects crystallize in the accessibility of forms of capital and induces economic poverty and stigmatization that reproduce their position in social space. Within this frame, I firstly explore tactics of Tuzcu Roma concerning poverty, stigmatization and the neighborhood effect. several tactics navigating the infrastructure of the neighborhood and the Turkish welfare system with the purpose of income generation. Other agentic processes include creating social and spatial distance . Regarding stigmatization as the outcome of Tuzcu Roma habitus, I scrutinize impression management of Roma by drawing on Goffmanian passing and covering strategies. Passing through covering emerges as the main strategy both among socially mobile and immobile Tuzcu Roma. When they draw on only iterational elements of stigmatized habitual dispositions, strategies are not successful. On the other hand, effective passing strategies through covering stem from cleft habitus of Tuzcu Roma which make use of projective and practical-evaluative element of the agentic dimension. Therefore, the achieved individual upward mobility does not transform the macro structure.",Degree: MA,PDF file (547k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
History,MA,https://tinyurl.com/historyma2018,2018,17,https://sierra.ceu.edu/record=b1400368,http://www.etd.ceu.edu/2018/lazaroska_ivana.pdf ,"Lazaroska, Ivana","Governing the Muslim communities : the Caliphate and the Kingdom of Serbs, Croats and Slovenes, 1923-1926  / Ivana Lazaroska","Budapest : Central European University, 2018",66 p. ; 30 cm.,CEU History Department master theses ; 2018/7,English,"This thesis examines the relationship between the Muslim communities of Kingdom of Serbs, Croats and Slovenes, and the institution of the Caliphate, between 1923 and 1926. It focuses on two particular events, one in 1923, when a delegation from the Kingdom was send to Istanbul to take an oath of allegiance to the new and last Ottoman Caliph AbdÃ¼lmecid II, and the another in 1926, when the Kingdom prohibited the Muslim communities to attend the Cairo Caliphate Congress. This thesis also shows how much of the Hapsburg and especially Ottoman infrastructure remained in the Kingdom. Transition from empires to a nation- state, as it argues, did not result in a profound break, but was a process that involved continuity. By focusing on, and shedding light to, some of the neglected Ottoman continuities, in this case the relationship with the Caliphate as an institution and idea, the objective of this thesis is to contribute to a scholarship that aims at integrating the Muslims of southeast Europe into scholarly debates about Islam, and reexamines the shared histories between the Middle East and this region.",Degree: MA,PDF file (1019k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Sociology,MSc,https://tinyurl.com/socma2019,2019,27,https://sierra.ceu.edu/record=b1419976,http://www.etd.ceu.edu/2019/udvari_orsolya.pdf ,"Udvari, Orsolya",Ways of seeing the other migration in contemporary Hungarian cinema / Orsolya Udvari,"Budapest : Central European University, 2019",48 p. ; 30 cm.,CEU Sociology Department master theses ; 2019/22,English,"Around 2015, the migration wave had a huge impact in Hungary. The crisis had resulted in the intensification of the migration discourse that was never seen before in the country. A part of this intensification was a strong state campaign that has been built on the crisis: a nationalist and hegemonic rhetoric which was rejective and hostile towards migrants, asylum seekers and refugees. This propaganda spoke about migratory processes in the framework of securitization where the process was understood and mobilized as a threat to the European-Christian culture. This narrative was not only rhetorically but visually outstanding. State financed posters and advertisements represented “the migrant” as a voiceless, faceless, male, violent, dark-skinned person who is not even an individual but exists in a horde-like group of people. Besides of this xenophobic and hostile context, counter-hegemonic narratives emerged not just in the form of social movements but, as I argue, in the artistic-visual field too. In my thesis, I focus on this contemporary counter-discourse of the Hungarian cinema through the lenses of three movies which have a privileged position in the “migration movie” corpus in Hungary, not only because all of them was funded by the state but because they earned nationwide recognition. These movies are The Citizen (2016), Jupiter’s Moon (2017) and Easy Lessons (2018). The first part of my research would like to contextualize these movies with special regard to their socio-political and cultural context. For this, I carry out discourse analysis on the already existing literature. After, I make the analysis of the movies themselves to explore the place of them in the discourse on visual representation and migration after 2015. The main questions of the analysis are how these movies are the part of the counter-discourse, what are those circumstances by the dominant state discourse that could challenge free artistic expression, and in which ways aesthetic and political elements are intertwined in the visual language of these movies. The research would like to answer these questions through the politics of (in)visibility and those artistic instruments that aim to transform the unseen “Other” into visible. Therefore the thesis displays two competing visual attitudes towards the representation of migration: one by the neo-authoritarian state propaganda and another by the contemporary Hungarian cinema.",Degree: MA,PDF file (430k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Economics,MA,https://tinyurl.com/ecoma2020,2020,4,https://sierra.ceu.edu/record=b1427841,http://www.etd.ceu.edu/2020/bittencourt_glauco.pdf ,"Bittencourt, Glauco Ferreira",The Brazilian labor reforms of 2017 : how does the flexibilization of employment protection legislation affect wages? / Glauco Ferreira Bittencourt,"Budapest : Central European University, 2020",62 p. ; 30 cm,CEU Economics Department master theses ; 2020/2,English,"The purpose of this thesis is to estimate the effects of the Brazilian labor reforms on the average wage of workers. In November 2017, the biggest legislative package of amendments of employment protection legislation (EPL) was enacted in Brazil. Among many revisions, important legislative changes were implemented, such as the abolition of compulsory union contribution; introduction of intermittent contracts; prevail of individual and collective agreements over state legislation; and introduction of a mutual contract termination agreement with a lower severance payment. These legislative changes are assessed to estimate their effects on average wages of workers by using repeated cross-section data and a difference-in-differences methodology with fixed-effects. The identified control group is composed of civil servants and the treatment group is formed of workers in the private sector. The results suggest that loosening employment protection legislation - at least in the Brazilian context - leads to a decrease of average wages in the labor market.",Degree: MA,PDF file (966k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
