department,program,lib_link,year,thesis_in_that_year,thesis_link,pdf_link,author,title,published,description,series,language,summary,note,filetype,localnote,access,systemdet,subject,alttitle,program_sampling,coder,folder_name
Philosophy,PhD,http://tinyurl.com/yhque8b, PhD (all years),45,https://sierra.ceu.edu/record=b1161020,http://www.etd.ceu.edu/2012/fphwaz01.pdf ,"Wagner, Zoltan","Reflectivity, caring and agency  / Zoltan Wagner","Budapest : Central European University, 2012",173 p. ; 30 cm.,CEU Philosophy Department PhD theses ; 2012/1,Agent (Philosophy),English,"As a solution for the problem of free will and determinism, Harry G. Frankfurt developed his hierarchical theory of desires. This controversial theory led to fruitful debates not only in connection with the problem of free will but in other areas as well including personal and practical identity, rationality in action and the problem of agency in general. Thus, this dissertation is not focused on the problem of free will but on the role of second-order desires in agency. More particularly, it discusses the importance of two features of human agency that Frankfurt emphasized most. First, humans are reflective, that is, they can evaluate their own desires. Second, humans are capable of caring about things, that is, some things are important for them in a special way. Frankfurt understands both of these crucial abilities as based on our ability to have second-order desires. In agreement with Frankfurt, I will argue that both reflectivity and caring are very important and basic abilities, and that they are connected to each other. However, I will disagree about their relation and about the definition of caring as dependent on second-order desires. I will argue that caring in the most basic sense is not a reflective ability but a first-order evaluation which is centrally important to action. I will also try to show that the reason humans have second-order desires is that they care about things. Thus, our second-order desires should be based on our personal values; in other words, what we care about. As a consequence, the most important claim of this dissertation is the following: though humans are reflective creatures, it is not reflectivity that is the most important feature of human life. Rather, caring, as a first-order evaluation is more important and our ability to reflect about our motivation depends on being able to care about things in this sense. At the end of the dissertation I will briefly discuss a serious problem for any caring based theory of action: the problem of self-control and self-management. Since we do not directly control by decisions what we care about, it seems that we cannot have these abilities. However, I will try to sketch a method of self-control and self-management which is consistent with the importance of the redefined concept of caring and which is based on self-trust and openness. This method will add one more argument against the importance of reflectivity: second-order desires do not help us in managing our desires; rather, they can interfere with self-control and become self-defeating strategies.",Degree: PhD,PDF file (694k),ETD,,Free will and determinism,,PhD,2,fphwaz01.pdf 
Sociology,MSc,https://tinyurl.com/socma2018,2018,22,https://sierra.ceu.edu/record=b1399188,http://www.etd.ceu.edu/2018/gajic_jelena.pdf ,"Gajic, Jelena",The street magazine LiceUlice : a safety net and a platform for social activism in Serbia / Jelena Gajic,"Budapest : Central European University, 2018",64 p. ; 30 cm.,CEU Sociology Department master theses ; 2018/14,English,"This research aims to examine the role of the street magazine LiceUlice, both as a platform for social activism and as a safety net for marginalised groups. These two issues are explored via the discourse analysis of the magazine, and via unstructured interviews with the magazine employees and vendors. By examining the magazineÃ¢â¬â¢s writings, this research illuminates their notions of poverty, homelessness, social inclusion, the role of the state and other safety net institutions. It sheds a new light on how the magazine is used as a platform for opening the questions on discrimination, poverty and mental health issues not discussed in the mainstream media. As such, the magazine serves as a tool for subversive social activism. However, this research also shows that despite the often radical rhetoric, the magazine still implies neoliberal work ethic on its vendors. The interviews with the magazine employees uncover troubling situation with the state institutions and the collapse of the safety net, and the attempts that the magazine is doing to offer support to its vendors. Such support often goes beyond a basic selling training, taking the role of the missing state institutions particularly regarding various trainings for job search and mental health support. Finally, the interviews with the vendors question the market model imposed on them, and ideas of sale efficiency as a mean to improve their social condition during the post-socialist transformation. I argue that the magazine LiceUlice is a valuable platform for both, social activism and support of its vendors, but it also reveals the extent of the neoliberal devastation of the state social institutions, overwhelming poverty and social stratification, and insecurity and risk that marginalised groups face daily in Serbia.",Degree: MA,PDF file (545k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,gajic_jelena.pdf 
Legal studies,MA,https://tinyurl.com/legalma2020,2020,78,https://sierra.ceu.edu/record=b1429009,http://www.etd.ceu.edu/2020/gashaw_temelso.pdf ,"Gashaw Getahun, Temelso",Countering online hate speech through legislative measure : the Ethiopian approach in a comparative perspective / Temelso Gashaw Getahun,"Budapest : Central European University, 2020",57 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2020/26,English,"It is almost self-evident that the phenomenon of online hate speech is on the rise. Meanwhile, governments around the world are resorting to legislative measures to tackle this pernicious social problem. This Capstone thesis has sought to offer an overview of these legislative responses to online hate speech in four different jurisdictions and unravel their implication on the right to freedom of expression. Using a comparative methodology, the research describes how the regulation of social networking platforms in relation to hate speech is being approached by the Council of Europe, German, the United States of America and Federal Democratic Republic of Ethiopia. It tests the hypothesis that legal frameworks for moderation of user-generated online content can have a more detrimental effect for freedom of speech in semi-democratic countries like Ethiopia than in developed liberal democracies. Findings of this project regarding the recently enacted Ethiopian Hate Speech and Disinformation Prevention proclamation will offer some guidance for The Council of Ministers in the course of adopting implementing regulation.",Degree: MA,PDF file (776k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,gashaw_temelso.pdf 
Philosophy,PhD,http://tinyurl.com/yhque8b, PhD (all years),45,https://sierra.ceu.edu/record=b1245537,http://www.etd.ceu.edu/2017/hangai_attila.pdf ,"Hangai, Attila",Alexander of Aphrodisias on phantasia : An Aristotelian account of mental representation in 2nd-3rd centuries CE  / Attila Hangai,"Budapest : Central European University, 2017",202 p. ; 30 cm.,CEU Philosophy Department PhD theses ; 2017/2,"Philosophy, Ancient",Representation (Philosophy),Philosophy of mind,English,"I discuss the account of phantasia of Alexander of Aphrodisias, a most prominent Late-Antique Aristotelian. For Aristotle phantasia is a motion of the perceptive soul that makes possible a great amount of activities and higher cognitions beyond sense-perception. Phantasia became a fundamental psychological concept in the Hellenistic Era: in empiricist epistemology, in action theory as perceptual representation of the external world; in aesthetics as creative imagination. I argue that Alexander proceeds from an Aristotelian framework of parts and capacities of the soul, but unlike Aristotle, he distinguishes a distinct capacity for phantasia. The main reason for this comes from his polemic against the Stoics: they do not acknowledge an activity of phantasia. A distinct activity requires a distinct object, which in turn a distinct capacity. The distinct status of a phantasia-capacity in itself modifies the architecture of the soul in comparison with Aristotle. But in addition Alexander makes important changes in the framework: he makes capacities as basic (and rather modular), and parts and the soul as sets of capacities. The object of phantasia is the residue from perception in activity. The status of this as internal object needs clarification. I show that it is internal on account of being a physical process in the body. Again, I argue that it is the causal object of phantasia: it is the item that provides content to the phantasia-activity by triggering it. But the residue is not an intentional object: it is a representation of something else. I give a reconstruction of Alexander`s account how the residue may be representation. Accordingly, it is a representation in virtue of preserving fully a perceptual content (something that had been perceived); or in virtue of functioning as an equivalent of a fully preserved residue insofar as phantasia completed an incompletely preserved residue. The latter case explains a wide range of cases, in general the fact that phantasia is more prone to error than perception. Finally I analyse the activity of phantasia. I argue that its content is propositional, in particular it is âS is Pâ: a predication of a perceptible feature P of a thing that caused a perception S. First, I show that it is implausible to construe simple cases of phantasia (or perception: for perception has the same type of content as phantasia) as non-propositional, demonstrating that the object reading of the content (x sees âwhiteâ) is inadequate in that at the best it reduces to existential propositions (âthere is whiteâ). Again, I analyse two positive evidences. (1) Alexander`s account of the truth-conditions of phantasia implies propositional content: phantasia is about an existent thing, S; and it is such as the thing, P. (2) The account of simultaneous perception (of several perceptibles) entails propositional content, and even uses examples as âthis is whiteâ. The phantasia-activity is said to be krisis, which I take to be judgement: primarily because its content is propositional. I argue that it is a certain type of judgement, perceptual, in contrast to conceptual judgements of the rational soul-part: esp. opinion. However, phantasia-judgement may be distinguished from perceptual judgement only because they are concerned with different objects: internal vs. external.",Degree: PhD,,Aristotle,,PhD,2,hangai_attila.pdf 
Nationalism,MA,https://tinyurl.com/natma2019,2019,18,https://sierra.ceu.edu/record=b1421284,http://www.etd.ceu.edu/2019/henic-sarajlic_ajla.pdf ,"HeniÄ SarajliÄ, Ajla",Enduring transition in Bosnia-Herzegovina : symbolic reparations for torture camp survivors case study of Prijedor / Ajla Henic Sarajlic,"Budapest : Central European University, 2019",88 p. ; 30 cm.,CEU Nationalism Studies master theses ; 2019/7,English,"In the wake of war, the victims who have been the target of past human rights violations, are in need of a collective societal response. In this regard, symbolic reparatory justice has become one of the mechanisms that can meet victims needs and sufferings. Concretely, dealing with memory in order to avoid denial and revisionism is essential for the process of healing not only for victims, but also for the political community it which they are ascribed. The purpose of the thesis is to focus the attention to the needs of torture survivors of Omarska, Keraterm and Trnopolje camps settled in 1992 in Prijedor during the Bosnian war. The main finding of the research is that, after more than twenty-five years, survivorâs sufferings remain still unaddressed and the concentration camps are unmarked. This demonstrates how Prijedor, BiH and the former Yugoslav sphere have not reconciled with its evil past. Hence, departing from the belief that an adequate post-conflict environment is essential for the healing of victims and survivors, the research conducted in-depth interviews for making an analysis of the actual demands on truth and justice for survivors in Prijedor.",Degree: MA,PDF file (930k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,henic-sarajlic_ajla.pdf 
IR,MA,https://tinyurl.com/iresma2019,2019,40,https://sierra.ceu.edu/record=b1421589,http://www.etd.ceu.edu/2019/ilardo_matteo.pdf ,"Ilardo, Matteo Giuseppe",Corporate power analysis : a governmental approach to the study of the corporate social responsibility system of governance / Matteo Giuseppe Ilardo,"Budapest : Central European University, 2019",61 p. ; 30 cm.,CEU International Relations Department master theses ; 2019/21,English,"Multinational Corporations (MNCs) are tremendously involved into every major societal challenge of today. With governments struggling in addressing major global issues, society is now increasingly calling in the private sector to do so by asking for companies to promote positive social change. Corporate Social Responsibility (CSR) embodies this new position of business in society and makes corporations no longer mere objects of regulation but rather political actors themselves involved in the definition and establishment of rules and norms. The scope of this thesis is to investigate nature and scale of MNCsâ political authority in the international system through the analysis of the CSR regime to provide for a better understanding of these new forms of governance. Yet, for this to be possible, a context-specific study of power is needed. Following a power analysis in which different power considerations are connected to different possible reasons for MNCsâ compliance with socially-responsible policies, CSR is here interpreted as a system of self-discipline and conformity from which MNCs result being both empowered and constrained. CSR â a by-product of the broader neoliberal regime of governmentality â by redefining the boundaries between public and private, invests firms with political authority while at the same time reinventing their social role in a way that the resulting system of governance ultimately both governs through and consists of the very success of its discourse in the global economy.",Degree: MA,PDF file (682k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,ilardo_matteo.pdf 
IR,PhD,http://tinyurl.com/h7m69ks, PhD (all years),25,https://sierra.ceu.edu/record=b1138148,http://www.etd.ceu.edu/2009/iphpon01.pdf ,"Popescu, Nicolae",Stealth intervention : the EU and post-Soviet conflicts   / Nicolae Popescu,"Budapest : Central European University, 2009",298 p. ; 30 cm.,CEU International Relations and European Studies Department PhD theses ; 2009/1,European Union countries -- Foreign relations -- Former Soviet republics,Former Soviet republics -- Foreign relations -- European Union countries,English,"This dissertation addresses EU policy towards the conflicts in Transnistria, Abkhazia, South Ossetia and Nagorno-Karabakh in the post-Cold War period. It examines the dynamics of EU interventions in conflicts, asking: Why and under what conditions does the EU decide to get involved in conflict resolution? In a conflict-prone world and competing security priorities, what determines EU involvement in particular conflicts? Do supranational institutions, such as the European Commission and the EU Council Secretariat, matter in initiating, shaping and implementing EU policies on conflict resolution? To answer these questions, I use institutionalist and intergovernmentalist theories to assess their relative explanatory power in accounting for the patterns of EU interventions in conflict. I find that these approaches are broadly complementary: institutionalism explains EU interventions in the low-politics areas of conflict resolution, while intergovernmentalism explains EU behaviour in the high-politics areas of intervention. When it comes to intervention in conflicts, EU foreign policy is like a light airplane: it can fly without being caught on radar as long as it flies âlowâ. By flying low (and slow), such an airplane can advance quite far into âenemyâ territory. However, if it increases its altitude above a certain threshold, it risks being detected by radars, and actions may be taken to halt the aircraft. The same holds true for EU interventions in conflicts. To avoid challenging EU member states, EU institutions often employ stealth intervention, operating predominantly in uncontroversial and depoliticised aspects of conflict resolution. By âflying low,â they are thus able to gradually extend their mandate from low-politics areas of conflict resolution to the high politics realm of overt intervention. Using a strategy I call âdosageâ, EU institutions engage in a series of low-cost actions, which, over a longer period of time, can yield significant cumulated policy impact. However, if their involvement becomes suddenly controversial, as when EU institutions enter suddenly into the realm of high-politics, EU member states may move to limit their autonomy.  The dissertation traces the politics of stealth intervention by EU institutions using unpublished empirical data related to the EU decision-making process as well as interactions between the EU institutions, EU member states, and Russia in the conflict zones in question.",Degree: PhD,PDF file (306k),ETD,European Union -- Former Soviet republics,,PhD,2,iphpon01.pdf 
Gender studies,MA,https://tinyurl.com/genderma2018,2018,29,https://sierra.ceu.edu/record=b1400164,http://www.etd.ceu.edu/2018/kasdovasili_stella.pdf ,"Kasdovasili, Stella Andrada","Drag-ing the human out of the human-oid : reflections on artificial intelligence, race and sexuality in late capitalism / Stella Andrada Kasdovasili","Budapest : Central European University, 2018",73 p. ; 30 cm.,CEU Gender Studies Department master theses ; 2018/14,English,"This thesis seeks to explore they ways in which the category of human formulates the research in the field of Artificial Intelligence by examining the boundaries introduced by the distinction between human and non-human. My research is focused on the case study of Sophia, a humanoid manufactured by Hanson Robotics that obtained citizenship from Saudi Arabia, in October 2016. Considering the ways through which the humanoid becomes sexualized and racialized, I will argue that Sophia enfolds the potentiality of subversion, that is of interest for feminist epistemology. In the theoretical framework of the first chapter, I will provide the reader with a genealogy of the category of human by focusing on the canonical patriarchal understanding of the rational man in Western philosophy, while also addressing the category of human species, so as to illustrate how these approaches formulated research in Artificial Intelligence. In the second chapter, I will provide a close reading analysis of Michel Foucault and Brian Massumiâs scholarship that bridges biopower and capitalism to the affect and the bodyâs materiality. Based on this, I will read the trope of emotionality used in Sophiaâs case in relation to the modulation of affect in late capitalism. This way, I intend to illustrate how Sophia is imbedded in a much more nuanced web of relations of power, one that redefines the boundaries between who is included in the category of the human species and who is not. In the third chapter, by employing Michel Foucaultâs analysis on biopower while also engaging with Norman Faircloughâs critical discourse analysis I will draw attention to the discursive traces that construct Sophiaâs identity in accordance to the biopolitical technologies of race and sexuality. Finally, in last chapter, drawing on Gilles Deleuze and Felix Guattariâs analysis on the abstract machine of faciality and Judith Butlerâs approach on drag I will reflect on the constructiveness of the boundaries between the human and the non-human, to argue that Sophia is not just a product of her time but also a point of disruption that might unravel what Deleuze and Guattari call, the inhuman in the human.",Degree: MA,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,kasdovasili_stella.pdf 
Economics,Business,https://tinyurl.com/ecobus2018,2018,26,https://sierra.ceu.edu/record=b1410991,http://www.etd.ceu.edu/2018/kelemen_andras.pdf ,"Kelemen, Andras Gabor",Time series forecasting for Archipelago International / Andras Gabor Kelemen,"Budapest : Central European University, 2018",10 p. ; 30 cm.,CEU Economics and Business Department master theses ; 2018/9,English,"Time Series Forecasting for Archipelago International, IndonesiaÃ¢â¬â¢s largest operator of hotels. Historical data analysis using statistical modeling, regression and other machine learning models to eventually come to an accurate occupancy prediction.",Degree: MSc,PDF file (522k),ETD,Capstone  project,Unrestricted,.,,Business,2,kelemen_andras.pdf 
Environmental sciences,PhD,http://tinyurl.com/cd675h,PhD (all years),48,https://sierra.ceu.edu/record=b1173902,http://www.etd.ceu.edu/2014/khan_fouad.pdf ,"Khan, Fouad Muhammad",Scaling in cities as an indicator of energy consumption : what fractal analysis could tell us about resilience and disparity in complex systems  / Fouad Muhammad Khan,"Budapest : Central European University, 2014",187 p. ; 30 cm.,CEU Department of Environmental Sciences & Policy PhD theses;   2014/1,Climatic changes,PDF file (3445k),English,Degree: PhD,"Climate change and global resource extraction peaks are problems that may require a complete overhaul of the fundamental paradigms of our civilization in order to be solved. Paradigm changes are implemented in societies first and foremost through a redefinition of indicators. Our current indicator systems do not take into account the complexity of human social, economic and material systems and prioritize âefficiencyâ and âgrowthâ. The objective of this research was to develop an indicator for one type of anthropogenic complex systems, i.e. cities that took into account the complex nature of the system and provided a quantitative way to prioritize alternative values such as âresilienceâ and âsustainabilityâ. Scaling has been identified as one measure of complexity in a system, which is relatively easy to compute and comprehend. Here, I have developed a scaling indicator for cities based on fractal dimension. US block wise census data was used to calculate the exponent of the power-law distribution of population density across different census blocks in a city. The power-law, or scaling indicator, herein referred to as the fractal dimension was then compared to parameters such as population, area, population density, gasoline sales, gasoline sales per capita and area, and carbon emissions and carbon emissions per capita. It was noted that the fractal dimension had a power-law correlation with gasoline sales per unit area in the cities. The analysis was then extended a second complex system, i.e. national economies. Fractal dimension or scaling of percentages of incomes across the highest earning to lowest earning twenty percent segments of the population was calculated using World Bank economic data for 2004 (the year for which most extensive dataset was available). The relationship between this scaling indicator and energy usage per capita in countries was again found to be a power-law with an r-square value of more than 0.35 (similar to the correlation between urban fractal dimension and gasoline sales per area in cities). A new planning tool is developed to allow incorporation of consideration of these complexity indicators in development planning for cities and national economies. The planning-plane allows for visualization of the impacts of particular interventions in cities (e.g. housing scheme) and economies (e.g. changes in tax-code) on energy consumption parameters across two independent variables (e.g. population and fractal dimension) instead of the usual practice of using one indicator (e.g. population density). The similar nature of the correlation between scaling indicators and energy consumption indicators in two completely different anthropogenic complex systems hints at some underlying similarity in the mechanism through which these complex systems develop. It is hypothesized here that steeper scaling (e.g. higher income differences in economies) in complex systems makes good system regulation more energy intensive, thereby affecting the energy consumption parameters as observed in this study. Steeper scaling also thus negatively affects the effectiveness of regulation in complex systems and makes the system more prone to internal shocks. Planning system evolution for resilience would thus benefit from consideration of scaling indicators in the planning process.",ETD,Unrestricted,City planning -- Environmental aspects,,PhD,2,khan_fouad.pdf 
Gender studies,MA,https://tinyurl.com/genderma2019,2019,35,https://sierra.ceu.edu/record=b1424390,http://www.etd.ceu.edu/2020/khan_shehreen.pdf ,"Khan, Shehreen Ataur","Bangladeshi food voices from diaspora : narratives of six case studies from the UK, USA and Hungary  / Shehreen Ataur Khan","Budapest : Central European University, 2019",119 p. ; 30 cm.,CEU Gender Studies Department master theses ; 2019/35,English,"This thesis is focused on Bangladeshi culinary representations in the diaspora. The purpose of this research is to gain a better understanding of the Bangladeshi migrants who are involved in the culinary industry. I joined these two strands together and formed the kernel of my dissertation, which is to examine the layers of Bangladeshi migrant identities that are orchestrated through their culinary expressions in diaspora. My dissertation is based on six case studies from the UK, USA, and Hungary. Because of the diverse backgrounds of the case studies, there was an eclectic mix in their culinary projects, and I have analyzed them through the theoretical lens of food histories, food narratives, postcolonial studies, migrant identifies, and oral history. This research reveals how their culinary projects are coming to terms with a new reality, an expression of their hybrid identity, and at the same time, celebrating the connection with their homelands.",Degree: MA,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,khan_shehreen.pdf 
Political science,PhD,http://tinyurl.com/asr6lx, PhD (all years),77,https://sierra.ceu.edu/record=b1175397,http://www.etd.ceu.edu/2014/kiss_agnes.pdf ,"Kiss, Ãgnes","Censorship between ambiguity and effectiveness : rules, trust and informal practices in Romania (1949-1989) / Ãgnes Kiss","Budapest : Central European University, 2014",260 p. ; 30 cm.,CEU Political Science Department PhD theses ; 2014/2,Censorship -- Romania,English,"In this dissertation, I present and discuss in detail the underlying formal organizational solutions and everyday informal practices contributing to the effective implementation of ambiguous censorship norms. Notwithstanding the persistent interest in the study of state censorship, the aspect that certain levels of coordination have to occur under invariably vague regulations is surprisingly neglected. Yet, given the role played by censorship in sustaining non-democratic regimes, the Soviet-type for instance on which the present analysis is centered, how the system internally managed to deal with uncertainties concerning censorship norms, and how the main actors coped with it, is surely a pertinent question. The research was designed to address both formal and informal aspects of the censorship process. For assessing formal organizational solutions, I use mid-level theories developed in the vein of the structural contingency approach to organizational design, whereas for the study of informal practices, I draw on theoretical insights offered by the comparative political science literature and a conceptual typology of informal practices/institutions that I developed based on three typologies (Nee and Ingram 1998, Lauth 2000, Helmke and Levitsky 2006a). In terms of methods, I combine institutional analysis and historical ethnography, which involves processing data derived from official documents and subjective sources (interviews, memoirs, diaries and contemporary correspondence). The empirical analysis is based on a single case, that is, the Romanian censorship system in the state socialist period (1949â1989). Within the case, the focus on formal mechanisms is narrowed to the extreme end of the pre-publication procedure, the activity of local censorsâ offices namely. With regards to informal mechanisms, the analysis is focalized on positive interpersonal relationships between the actors of the censorship system, particularly those nurtured among the controllers and controlled, and the allied informal practices. The intensive analysis of the Romanian case resulted that the effective implementation of the censorship policy was maintained by a complex set of formal organizational coordination and control mechanisms that were appropriately designed to meet critical contingencies (i.e. task uncertainty), as well as by various types of informal practices based on trust-centered interpersonal ties. The types of informal practices that furthered the formal scopes of censorship include the spread and clarification of information regarding censorship norms via peers and censors (complementary informal practices), censors sharing confidential directives (accommodating practices), as well as counseling and ensuring with controllers prior to official checking (substitutive practices). The fourth type comprises interactions that eventually undermined the effectiveness of the censorship policy, practices such as negotiations between the censors and editors-in-chief/authors, intervening through personalized networks on behalf of a publication, or taking a risk by turning a blind eye to problematic issues (competing of practices). These findings complement accounts of the functioning and effectiveness of the Soviet-type censorship system primarily focused on macro institutional and organizational configurations. Furthermore, the results shed light on practices constituting the domain of âself-censorshipâ, which is also claimed by the literature to represent an important factor contributing to the effectiveness of censorship. Finally, by focusing on positive interpersonal ties and related practices, the findings considerably alter the dominant narrative centered on negative relationships between the controllers and the controlled, yet they also show that many interactions based on positive ties had the same effects as their negative counterparts: raising the performance of the censorship system.",Degree: PhD,PDF file (2650k),ETD,Unrestricted,"CEU Doctoral School of Political Science, Public Policy and International Relations",,PhD,2,kiss_agnes.pdf 
Legal studies,MA,https://tinyurl.com/legalma2019,2019,50,https://sierra.ceu.edu/record=b1420057,http://www.etd.ceu.edu/2019/kvaratskhelia_gvants.pdf ,"Kvaratskhelia, Gvantsa",Constitutionality of delegated legislative powers to the executive / Gvantsa Kvaratskhelia,"Budapest : Central European University, 2019",43 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2019/15,English,"The thesis focuses on constitutional standards over delegation of the legislative powers to the executive. In modern industrial states the executiveâs law-making power is increased. It is regarded as practical and effective way to govern the state without impediments. However, constant practice of the delegation may cause erosion of basic constitutional principles, such as separation of powers, checks and balances and rule of law. Erosion of parliamentâs rule-making function consists threat against democracy. Thesis enquires those constitutional limits that are protected in case of permitting the legislative delegation.",Degree: MA,PDF file (615k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,kvaratskhelia_gvants.pdf 
Political science,MA,https://tinyurl.com/polma2020,2020,42,https://sierra.ceu.edu/record=b1427942,http://www.etd.ceu.edu/2020/lazarescu_paul.pdf ,"Lazarescu, Paul Manuel",Understanding the implications of the Hart-Celler Act / Paul Manuel Lazarescu,"Budapest : Central European University, 2020",54 p. ; 30 cm.,CEU Political Science Department master theses ; 2020/9,English,"The Hart-Celler Act, formally known as the Immigration and Nationality Act of 1965, has had a thought-provokingly stellar impact on U.S. immigration. This act eliminated discrimination against certain ethnic groups that had persisted since the Immigration Act of 1924 which established the National Origins Formula. Under the National Origins Formula, immigration quotas were put into place in order to limit the number of immigrants from regions of the world that would negatively alter the ethnic distribution of the United States. The era within which the Hart-Celler Act was passed was one of a great change in the psyche of the U.S. demos towards a more liberal, global way of thinking by removing these quotas and creating a better system through which residency could be acquired. The changing of times and inability to address it since, however, has led to immigration becoming a forefront of political debate in the United States today. This has culminated in the presidential campaign and subsequent election of Donald J. Trump, whose primary campaign issue revolved around racially charged sentiments and the problems of immigration. My aim here is to assess, from relevant data and evidence, the impact of the Hart-Celler Act by examining a) how it improved or faulted as legislation upon its predecessor â via reallocation of immigration slots from Northern Europe to 3rd world inhabitants or the creation of chain migration â and b) the economic and social consequences that have occurred in the fifty years following. I shall follow this up by developing a normative scale upon which to judge the competing immigration theories, which is succeeded by taking a look at philosophical literature in search of providing a clearer picture regarding the moral debate surrounding immigration today. I conclude a) that Congress passed a law improving on many of the shortcomings of its predecessor, though it has not been spared criticism on pragmatic grounds; and b) that the legislative changes cultivated fairly positive economic consequences. Additionally, I assert that sole adherence to either theory of immigration is too narrow in approaching the problem of reform and that collaborative measures that are understanding of both sidesâ interpretations of justice is the most suitable path forward.",,PDF file (924k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,lazarescu_paul.pdf 
History,MA,https://tinyurl.com/historyma2018,2018,17,https://sierra.ceu.edu/record=b1400368,http://www.etd.ceu.edu/2018/lazaroska_ivana.pdf ,"Lazaroska, Ivana","Governing the Muslim communities : the Caliphate and the Kingdom of Serbs, Croats and Slovenes, 1923-1926  / Ivana Lazaroska","Budapest : Central European University, 2018",66 p. ; 30 cm.,CEU History Department master theses ; 2018/7,English,"This thesis examines the relationship between the Muslim communities of Kingdom of Serbs, Croats and Slovenes, and the institution of the Caliphate, between 1923 and 1926. It focuses on two particular events, one in 1923, when a delegation from the Kingdom was send to Istanbul to take an oath of allegiance to the new and last Ottoman Caliph AbdÃÂ¼lmecid II, and the another in 1926, when the Kingdom prohibited the Muslim communities to attend the Cairo Caliphate Congress. This thesis also shows how much of the Hapsburg and especially Ottoman infrastructure remained in the Kingdom. Transition from empires to a nation- state, as it argues, did not result in a profound break, but was a process that involved continuity. By focusing on, and shedding light to, some of the neglected Ottoman continuities, in this case the relationship with the Caliphate as an institution and idea, the objective of this thesis is to contribute to a scholarship that aims at integrating the Muslims of southeast Europe into scholarly debates about Islam, and reexamines the shared histories between the Middle East and this region.",Degree: MA,PDF file (1019k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,lazaroska_ivana.pdf 
Legal studies,MA,https://tinyurl.com/legalma2019,2019,50,https://sierra.ceu.edu/record=b1424434,http://www.etd.ceu.edu/2020/leshkovych_taras.pdf ,"Leshkovych, Taras","Evolution of the educational rights of minorities in the League of Nations, United Nations and Council of Europe systems / Taras Leshkovych","Budapest : Central European University, 2019",73 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2019/39,English,"The present thesis is devoted to the comprehensive analysis of the historic development of the educational rights of persons belonging to national or ethnic, religious or linguistic minorities. The study focuses on the transformation of the minoritiesâ protection regimes established within the League of Nations after World War I into more individualistic system of the protection of the rights of persons belonging to minorities that emerged after World War II within the United Nations and Council of Europe. From the wide array of the rights of persons belonging to minorities, education plays a crucial role and is paramount to the survival and further development of minority communities. While the rights of persons belonging to minorities are perceived as individual rights â such approach is practical and important for jurisdictional reasons, the collective aspect of minority rights is undisputed. This is particularly relevant for the educational rights of persons belonging to minorities, as educational process mostly has collective character. The research focuses on the evolution of minority education rights within three legal systems: minority protection regimes under the League of Nations, educational rights of persons belonging to minority groups under the United Nations, and the regional Council of Europe system. The study also provides an overview of modern understanding of the educational rights of persons belonging to minority groups. In this aspect, thesis analyzes the minority rights as human rights â focusing on the subjective element of the minority education rights, and examines the content or material elements of the educational rights of minorities.",Degree: MA,PDF file (904k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,leshkovych_taras.pdf 
Legal studies,MA,https://tinyurl.com/legalma2019,2019,50,https://sierra.ceu.edu/record=b1420076,http://www.etd.ceu.edu/2019/martin_silke.pdf ,"Martin, Silke Inken",An unequal start : the right to education and the education gap for students with a migrant background in France and Germany / Silke Inken Martin,"Budapest : Central European University, 2019",93 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2019/32,English,"Students with a migrant background are marginalized in education systems in European societies. Destination countries face the challenge of integrating an increasing number of migrant students and students with a migrant background into national education systems. This thesis discusses the education gap between students with a migrant background and non-immigrant students in the public education systems of France and Germany. The education gap is discussed as a persistent infringement on the right to education and draws on regional and international human rights instruments to discuss the scope of the right to education. The current status quo of the structured systems of France and Germany are conducive to the experienced indirect and direct institutionalized discrimination faced by students with a migrant background. An adaptable, inclusive, and integrative perspective is offered as an alternative to the deficit-oriented approach which emphasizes the cultural and social deficits of migrant communities in France and Germany as the root problem of the education gap.",Degree: MA,PDF file (807k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,martin_silke.pdf 
