department,program,lib_link,year,thesis_in_that_year,thesis_link,pdf_link,author,title,published,description,series,language,summary,note,filetype,localnote,access,systemdet,subject,alttitle,program_sampling,flag,coder
Legal studies,MA,https://tinyurl.com/legalma2019,2019,50,https://sierra.ceu.edu/record=b1420065,http://www.etd.ceu.edu/2019/petrovic_danica.pdf ,"Petrovic, Danica",Regulation and the case law on business format franchise in the United States and Europe : lessons for Serbia / Danica Petrovic,"Budapest : Central European University, 2019",56 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2019/22,English,"This paper focuses on comparative analysis of business format franchise in the United States and Europe, with a special focus on Serbia. Franchise is widely recognized as a modern, yet new and complex model of doing business, making it an exceptionally interesting topic to analyze. The selection of jurisdictions is made with respect to the rich experience on franchise that comes from United States, the birthplace of business format franchise, that had been followed by Europe. Notably, business format franchise is treated differently in these two continents and that is why an analytical comparison sheds the light over the reasons for regulating, as well positive and negative features of various regulatory regimes. Serbia, on the other hand, is the central subject of this thesis. Franchise in Serbia is treated as an innominate contract, with no particular regulation and developed practice. However, the novelty in Serbia is the Draft of Civil Code that is not yet enacted, but regulates franchise for the first time. Therefore, the ultimate goal is to analyze the Draft and evaluate it by comparison with other regulatory systems.",Degree: MA,PDF file (755k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Sociology,MSc,https://tinyurl.com/socma2019,2019,27,https://sierra.ceu.edu/record=b1420120,http://www.etd.ceu.edu/2019/qiu_zhitian.pdf ,"Qiu, Zhitian",Factory regime of duty contractor under platform capitalism : an example of Chinese logistics industry / Zhitian Qiu,"Budapest : Central European University, 2019",52 p. ; 30 cm.,CEU Sociology Department master theses ; 2019/26,English,"In this thesis, by doing ethnographic fieldwork at two courier stations, I put forward a concept of factory regime of duty contractor to better understand the production politics of informality in the third-party logistics companies under the demand of the booming platform economy. As pointed out by Burawoy(1985), the factory regime should be examined with regards to four factors: labour process, reproduction of labour power, market competitions among firms and the state intervention. Within the framework composed of these four dimension, I examine the production politics in the courier sector and conclude that: first, as a result of the fierce market competition, intention to lower the labour cost and the characteristics of the work itself, the courier worker is organized by the capital both as an employee and a contractor, which indicated the tension of lose labour control and intensified labour control ; secondly, the first point may contribute to the discussion of the separation of execution and conception work in an informal work sector; thirdly, such a concept indicates a self-motivated and self-responsible ideology; fourthly, the stateâs public governance may have a direct impact on the workerâs condition, so as to the factory regime. The state intervention of an authoritarian regime, in the case of courier sector, maybe the key factor to trigger the collective resistance of the workers.",Degree: MA,PDF file (365k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Gender studies,MA,https://tinyurl.com/genderma2019,2019,35,https://sierra.ceu.edu/record=b1420525,http://www.etd.ceu.edu/2019/baqais_david.pdf ,"Baqais, DÃ¡vid",The affective potential of queer shame on screen / DÃ¡vid Baqais,"Budapest : Central European University, 2019",80 p. ; 30 cm.,CEU Gender Studies Department master theses ; 2019/5,English,"This thesis explores the potential of shame as intersubjective affect through three filmic representations of queer shyness in widely divergent cinematic texts: Tom Fordâs high-profile US film adaptation of Christopher Isherwoodâs novel A Single Man (chapter 1); Alain Guiraudieâs French erotic thriller LâInconnu du lac, an art house exploration of queer desire, sex and death (chapter 2); and a Brazilian short film directed by Daniel Ribeiro, entitled Eu Nau Quero Voltar Sozinho, an coming-of-age narrative of a blind teenage boy (chapter 3). These ideas are rehearsed against the theoretical backdrop of Leo Bersaniâs and Lee Edelmanâs antirelational queer theory, JosÃ© Estaban MuÃ±ozâs work on queer potentiality, relationality and hope as articulated in Cruising Utopia in opposition to antiutopian antirelationality, and Eve Kosofsky Sedgwickâs affective turn (in particular her theorizing on shame and her concept of paranoid and reparative reading). The analyses in the first two chapters gesture toward a displacement of antirelational queer theoryâs overinvestment in the radicality of strategically embracing cultural fantasies of male homosexuality as psychic negativity or erotic self-annihiliation. In contrast to these tropes, a vision of queer relationality grounded in the relational dynamics of shame is forwarded, drawing on Sedgwickâs work on shame inspired by Silvan Tomkinsâs affect theory. The shy queer man thus comes to figure as a counterpoint to the death-driven queer subject enraptured by jouissance. The third chapter, in turn, moves from such a contrastive âanti-antirelationalâ engagement to a closer exploration of Tomkinsâs theory of shame, combining it with phenomenological film theory and Sara Ahmedâs work on queer phenomenology, arguing that the short filmâs climactic moment allows us to think shame as utopian potentiality as conceived by MuÃ±oz. Finally, the conclusion suggests a conception of shame as reparative affect in contrast to routinized habits of thought in paranoid antirelational queer theory.",Degree: MA,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Economics,MA,https://tinyurl.com/ecoma2019,2019,72,https://sierra.ceu.edu/record=b1421181,http://www.etd.ceu.edu/2019/hakobyan_taguhi.pdf ,"Hakobyan, Taguhi",Measuring the macroeconomic impact of tariffs on steel and aluminum : the costs of trade war / Taguhi Hakobyan,"Budapest : Central European University, 2019",35 p. ; 30 cm.,CEU Economics Department master theses ; 2019/16,English,"This paper analyzes the effects of increase of the US import tariff rates of Steel & Aluminum and the costs of trade war, when China increases tariff on imports from the US in response. The study uses New Keynesian open-economy framework, featuring nominal rigidities in prices, fexible exchange regime and introduction of multiple sectors in the economy. The tariffs are added in the model to assess the e ects of tariff shocks in the economy. The model closely follows the methodology used in Linde and Pescatori (2017) and Erceg et al. (2017), but deviates from the symmetry assumption, and adds sectors in the economy to see the effects of trade war when applied only on one speci c sector. For the analysis, I use cross-country data on GDP, terms of trade, and tari s available at the World Trade Organization andWorld Bank. As a result, the unilateral increase in tariff rate on the sector of A&S decreases the US GDP, labor and nominal wages. China's retaliation worsens the effects on terms of trade and GDP. Trade war substantially o sets the real appreciation of the dollar.",Degree: MA,PDF file (841k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Economics,MA,https://tinyurl.com/ecoma2019,2019,72,https://sierra.ceu.edu/record=b1421213,http://www.etd.ceu.edu/2019/tspnetsyan_arpine.pdf ,"Tspnetsyan, Arpine",The impact of financial regulation on bank risk-taking : capital adequacy regulation vs deposit insurance / Arpine Tspnetsyan,"Budapest : Central European University, 2019",20 p. ; 30 cm.,CEU Economics Department master theses ; 2019/35,English,"This paper, based on the reviewed literature, conducts a secondary analysis to understand what are the incentives which increase the level of risk-taking in the banking sector, whether there is intense competition giving significant grounds to the banks for excessive risk-taking. Additionally, it discusses how financial regulation impacts the risk-taking in the banking sector and the possible flaws of the regulation. A comparison is conducted between two preventive governmental interventions: Capital adequacy requirement and Deposit Insurance. Further policy recommendations have been made to improve financial regulation in the banking sector.",Degree: MA,PDF file (398k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Nationalism,MA,https://tinyurl.com/natma2019,2019,18,https://sierra.ceu.edu/record=b1421288,http://www.etd.ceu.edu/2019/kostic_mijat.pdf ,"Kostic, Mijat",Civilizationism and European identity : two arguments for anti-immigrant mobilization / Mijat Kostic,"Budapest : Central European University, 2019",82 p. ; 30 cm.,CEU Nationalism Studies master theses ; 2019/11,English,"The focus of the thesis is reaffirmation of European identity conceptualized on civilizational terms within the anti-immigrant discourse. I will analyze two different civilizational arguments that were used for securitization of migrant crisis in 2015 and have framed miass migration as the threat to European identity. Based on the analysis, I formulate my main hypothesis that the anti-immigrant discourse is the expression of certain form of Pan-European nationalism. In the first chapter of the thesis I will set up the theoretical background and explain the methodology that I will be using, while the second chapter will start with a historical overview of how Europe was conceptualized in the civilizational terms based on its unique culture and tradition. In the second part of this chapter I will make my remarks on different conceptions of European identity from the contemporary perspective. The third chapter consists of brief introduction to transnational populism and civilizationism as the main elements of the anti immigrant mobilization. The main analysis is conducted in chapter four, were I will deconstruct two different types of arguments for anti-immigrant mobilization. The first one that I refer to as the Christian argument is found in the discourse of Viktor Orban who opposes Islam based on its supposed incompatibility with traditional Christian values. On the other hand, secular argument that Wilders uses is based on the commitment to secular ideas and perception that Islam is incompatible with Western liberal values. In conclusion, I will try to answer the more ambitious question: how the anti-immigrant mobilization affects European solidarity and identification with Europe as the common culture? The aim to show that advocates of civilizationist arguments are interpreting those threats as the potential danger primarily to European collective identity, which is contained within their separate national identities. Even when populist anti-immigrant parties ii  claim that they are protecting their own national identities, they are putting it in the context of broader civilizational discourse in which the Muslim Other is a threat to Europe as a whole.",Degree: MA,PDF file (769k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Philosophy,MA,https://tinyurl.com/philma2019,2019,10,https://sierra.ceu.edu/record=b1421318,http://www.etd.ceu.edu/2019/lazurca_vladimir.pdf ,"Lazurca, Vladimir",Translating the incommensurable / Vladimir Lazurca,"Budapest : Central European University, 2019",64 p. ; 30 cm.,CEU Philosophy Department master theses ; 2019/7,English,"The topic of this thesis is the problem of semantic incommensurability between languages. My aim is to provide an argument that plausibly disassociates the incommensurability of languages from their untranslatability. I consider the idea of these notions being connected to be a misapprehension to which much of the contemporary debate falls prey. Towards the stated purpose, I argue for the inclusion of Friedrich Schleiermacher in this modern debate and subsequently construct an argument meant to drive a wedge between incommensurability and untranslatability. I do so in the following way: (1) I argue for the translatability of incommensurable languages and (2) I argue that translatability does not entail commensurability. Finally, I argue that Schleiermacher is ultimately inconsistent but that the argument I have constructed based on his account of translation does not fall along with him.",Degree: MA,PDF file (839k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
IR,MA,https://tinyurl.com/iresma2019,2019,40,https://sierra.ceu.edu/record=b1421584,http://www.etd.ceu.edu/2019/guner_busra.pdf ,"Gç«¯ner, Bç«¯sra",The representation of refugees and migrants in the European mainstream media : the case of the United Kingdom and Germany / Bç«¯sra Gç«¯ner,"Budapest : Central European University, 2019",72 p. ; 30 cm.,CEU International Relations Department master theses ; 2019/16,English,"The surge of right-wing exclusionary populism and the failure of the Western states to respond to the so-called refugee crisis have been a fruitful discussion for students at the nexus of mobility, religion, and identity. Still, the recent into the representations of the refugees and migrants is rather limited to the analysis of anti-immigration discourse as well as single country or exploratory studies. This thesis scrutinizes the most commonly used frames about the refugees and migrants in the mainstream print media and offers a reading of the representations utilizing theories of Biopolitics, Necropolitics, and Orientalism. This research hypothesizes that not only these frames dehumanize, deindividualize, and decontextualize people, but also the reproduced knowledge about the others of Europe inform articulation of messages across the political spectrum. In this end, two hundred seventy articles from the most circulated quality and tabloid newspapers across the political spectrum in the UK and Germany are qualitatively analyzed. Findings affirm the hypotheses that the underlying notions about non-Western individuals inform both anti-immigration and pro-immigration accounts. Liberal discourse is not only informed by the same Orientalist notions about the other, but also enforces a bio-political archetype for a deserving refugee and leave non-conforming individuals with agency in the necropolitical deathscape to die. Moreover, in addition to the extensively researched implication of the former, these findings point to a dilemma for the latter which reemphasize mechanism that allow marginalization, dehumanization, and deindividualization of the refugees and migrants for the sake of short-term action.",Degree: MA,PDF file (791k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
IR,MA,https://tinyurl.com/iresma2019,2019,40,https://sierra.ceu.edu/record=b1421595,http://www.etd.ceu.edu/2019/ramein_obura.pdf ,"Ramein, Obura Ronald",Change in the ruling political party in the United States of America and its effect on the flow of foreign direct investment into the East African Federation recipient countries from 1981-2017 / Obura Ronald Ramein,"Budapest : Central European University, 2019",26 p. ; 30 cm.,CEU International Relations Department master theses ; 2019/27,English,The thesis is about the relationship between the change in the ruling political party in the US and how it affects the flow of foreign direct investment to five East African Federation states. It performs numerous simple linear regressions to check the connection.,Degree: MA,PDF file (1102k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Medieval studies,MA,https://tinyurl.com/medma2019,2019,20,https://sierra.ceu.edu/record=b1422682,http://www.etd.ceu.edu/2019/zacelici_armand.pdf ,"Zacelici, Armand","The Heirmologion Br. 23 of the Central State Archive of Tirana, Albani : in comparison with the contemporary heirmological tradition (repertory and notation) / Armand Zacelici","Budapest : Central European University, 2019",336 p. ; 30 cm.,CEU Medieval Studies Department master theses ; 2019/20,English,"This thesis focuses on the study of the Heirmologion Berat 23 (Br. 23), an atypical musical manuscript of the Middle Byzantine period preserved in the CSA of Albania. This manuscript, written by Mihail Slavopulos in 1292, shows a specific form of organization which distinguishes it from other Heirmologia of the same period. Moreover, the arrangement of the odes within an Akolouthia (service) seems to be a form of âdevianceâ from the traditional Heirmologia. The purpose of this study is to delineate the position of Br. 23 among Middle Byzantine Heirmologia through both a systematic description and a comparison with two other Heirmologia of the same period, E. Î³. ÎÎ of Grottaferrata and Iviron 470 of Mount Athos. A detailed examination is made on a repertory of liturgical chants in Mode I â text and neumatic notation - which is common for the three manuscripts. Even though an interdisciplinary study, the central point of this thesis is the interpretation of Middle-Byzantine neumatic notation in relation to its liturgical context. This interpretation aims at providing and establishing a theoretical conception which can serve as a guide for further researches on Middle Byzantine Heirmologia.",Degree: MA,PDF file (11425k),ETD,Unrestricted,,,,MA,0,1
Economics,MA,https://tinyurl.com/ecoma2019,2019,72,https://sierra.ceu.edu/record=b1423159,http://www.etd.ceu.edu/2019/niranjan_nikitha.pdf ,"Niranjan, Nikitha",ServiceNow analytics : for IT higher management / Nikitha Niranjan,"Budapest : Central European University, 2019",11 p. ; 30 cm.,CEU Economics Department master theses ; 2019/58,English,"The client company receives multiple service desk tickets. They would like to create multiple dashboards, which can visually explain the ticketing behavior. This would help them to identify the pain points and provide better quality of service to their users. The customers instead of a separate dedicated IT team can directly analyze power BI. This would help the Management to reduce some analysis cost and provide best Business decisions to the stakeholders. This project would include visualization of data specific to ServiceNow in a graphical way using Power BI. It would aim to have six dashboard which would give a clear picture of incident behavior to the following audiences: 1) Chief Information Officer â One dashboard 2) TCS Management â Three dashboards 3) Country Manager â Two dashboard",Degree: MA,PDF file (515k),Capstone project,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Economics,Business,https://tinyurl.com/ecobus2019,2019,14,https://sierra.ceu.edu/record=b1423205,http://www.etd.ceu.edu/2019/mehta_vineet.pdf ,"Mehta, Vineet Kumar",Timely communication / Vineet Kumar Mehta,"Budapest : Central European University, 2019",23 p. ; 30 cm,CEU Economics and Business Department master theses ; 2019/7,English,"In my project I was analyzing online chat services, and the relationship between the length of the text on a webpage and the successful timing of the chat pop-up.",Degree: MSc,PDF file (1936k),ETD,Capstone  project,Unrestricted,.,,Business,0,1
Political science,MA,https://tinyurl.com/polma2019,2019,46,https://sierra.ceu.edu/record=b1423959,http://www.etd.ceu.edu/2019/iqbal_muhammad.pdf ,"Iqbal, Muhammad Osama",Religion and the liberal state : liberal neutrality in the post-secular age / Muhammad Osama Iqbal,"Budapest : Central European University, 2019",67 p. ; 30 cm.,CEU Political Science Department master theses ; 2019/46,English,"Religion has traditionally been an important consideration in political philosophy. The most recent milestone in political theory and practice, with regards to religion, was achieved during the 17th century i.e. secularism. However, after the recent religious resurgence in public and political affairs throughout the world, the issue of regulating religion has reemerged as a challenge to contemporary liberal democracies. Therefore, the puzzle that liberalismâs basic architecture and secularism as a basic pillar of achieving religious toleration were specifically solutions to specific provincial (European) issues, increases the salience of religion today and demands a reevaluation of the basic tenets of this debate. This thesis argues, that due to certain blind spots in Liberal Political Thoughtâs (LPT) understanding of religion, LPTâs secularism promises to uphold liberal neutrality (neutrality of the state towards ethical conceptions) universally, however, secularism, due to its Christian-inflicted history and origins, requires a reconceptualization in order to uphold the ideal of liberal neutrality.",,PDF file (501k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Economics,Business,https://tinyurl.com/ecobus2019,2019,14,https://sierra.ceu.edu/record=b1423970,http://www.etd.ceu.edu/2020/runtag_david.pdf ,"RuntÃ¡g, DÃ¡vid",BlackRock competitor and market analysis / DÃ¡vid RuntÃ¡g,"Budapest : Central European University, 2019",10 p. ; 30 cm,CEU Economics and Business Department master theses ; 2020/1,English,"In this report I summarize my work done for BlackRock in relation to the Capstone Project. My project was that by working together with Daniel Magness, a Vice President from the London office, create a report for analyzing the competitor and market landscape of our equity funds. This summary will go through the work I have done and how it benefited the client, lessons learned, and key outcomes and my personal takeaways from this project.",Degree: MA,PDF file (241k),ETD,Capstone Project,Unrestricted,.,,Business,0,1
Sociology,PhD,http://tinyurl.com/kqqlj35,PhD (all years),36,https://sierra.ceu.edu/record=b1423998,http://www.etd.ceu.edu/2020/tsoneva_jana.pdf ,"Tsoneva, Jana Mariyanova",The making of the Bulgarian middle class : citizens against the people in the 2013 protests / Jana Mariyanova Tsoneva,"Budapest : Central European University, 2020",443 p. ; 30 cm.,CEU Sociology Department PhD theses ; 2020/1,Bulgaria -- Social life and customs,Bulgaria -- Social policy,English,"This thesis provides an empirically-driven theory of the formation of the âmiddle classâ in a peripheral country: Bulgaria between 2002-2013. Based on low wages and low taxes, the countryâs political economy mitigates against the emergence of Ð° âbroad middleâ habitually associated with the developed welfare states of the West. 80% of the working population ekes out less than 500 EUR monthly, making Bulgaria the poorest EU-member state. After three decades of neoliberal reforms, the countryâs class structure resembles that of a Third world country: a tiny opulent minority sits atop a vast ocean of poverty. The unpopularity of this mode of economic development prompted the liberal ideologues of the Transition to create a social base for the liberal reforms in the early 2000s, a project that culminated with the 2013 anti-corruption protests. Therefore, I analyze the insurgent âmiddle classâ as a political, rather than economic formation. More specifically, I explore the formation of the Bulgarian middle class from the vantage point of the 2013 summer protests. That year saw feverish protest mobilizations in two phases in winter and summer. Even though these protests occupy determinate temporal frames, their significance reverberates to this day because commentators continue to make sense of current events through the prism of the âlong 2013.â  Time and again pundits and participants stated that the summer protests portended the birth of the middle class. I follow these discussions in the public sphere and tease out the vectors of inclusion into the self-identified middle class.  The first part of the thesis focuses on class formation and class consciousness where class is understood in materialist yet non-economistic terms. I offer a way of thinking about the problem of the âmiddle classâ that breaks with the double objectivism of structural and mechanical theories extrapolating its existence from the laws of capital in Orthodox Marxism, on the one hand, and from liberal stratification theories which rely on arbitrary income brackets to discern its existence, on the other. Because of the strong emphasis on class polarization, inherited from the Manifesto, the âmiddle classâ has traditionally posed a challenge Marxists have tended to overcome via a recourse to Weberian âprostheticsâ.  In contrast, I treat class as a political becoming, every class is always-already a âclass againstâ. Thus, a âsubjectivistâ approach to social class is well suited to understand this formation. To this end, I fashion a theoretical apparatus out of Pierre Bourdieuâs sociology and the Essex Schoolâs Discourse Theory to account for the discursive and polemical constitution of the middle class of the 2013 summer protests. This theoretical amalgam offers a polemical slant to theorizing class formation, resonating with some early remarks on the political nature of social class by Karl Marx.  I do so against the backdrop of the thorny path of the neoliberal reform in Bulgaria. I argue that the middle class is the crystallization of a long search on part of policy elites, civil society practitioners and democratization experts to find the âsocial baseâ for the neoliberal reform, perceived as increasingly beleaguered by populism, left and right.  One such challenge to the reform consensus came in the wake of the winter protest of 2013. It rebelled against austerity, poverty and the political establishment, yet it did so by poaching the liberal semantic field and appropriating the language of âcivil societyâ. The summer protests re-appropriated the appropriation and, in the process, subjectivized itself as âmiddle classâ against the winter protests and the corrupt oligarchic elite.  The second part of the thesis traces the effects the 2013 class imaginaries exert on the formal and universalistic political equality under liberalism. The discourse of âthe middle classâ organized the protestersâ normative visions about citizenship and national identity along increasingly inegalitarian, demophobic and elitist lines.  This dissertation thus follows an instance of âclass struggleâ unfolding on the terrains of civil society, citizenship and nationhood. I show how the radicalization of imaginaries about class difference are projected onto the political field resulting in a tendency to question formal equality under liberalism.",Degree: PhD,PDF file (4468k),ETD,Middle class -- Bulgaria,,PhD,0,1
Legal studies,MA,https://tinyurl.com/legalma2019,2019,50,https://sierra.ceu.edu/record=b1424432,http://www.etd.ceu.edu/2020/januszczyk_agnieszka.pdf ,"Januszczyk, Agnieszka",How far is too far? : a critical appraisal of exemptions for religious organizations from non-discrimination principle in employment. Europe and the US / Agnieszka Januszczyk,"Budapest : Central European University, 2019",68 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2019/38,English,"With the expansion of equality law, religious autonomy became a subject of stricter scrutiny. The âhow far is to far?â paradigm illustrates the ongoing academic discussion on the reasonableness and limits to religious autonomy. This work endeavors to provide a critical appraisal of the autonomy-equality nexus, with a particular focus on the tension between the autonomy of religious organizations and the principle of non-discrimination in employment. In doing so, a comparative analysis of the selected-case law of the European Court of Human Rights, the Court of Justice of the European Union, and the Supreme Court of the United States will be conducted and critically engaged with academic literature. This work argues that we are currently in medias res of the developments related to the autonomy-equality nexus. On the one hand, academic scholarship is divided on how to set boundaries for religious autonomy, and how to justify exemptions which religions are granted in an increasingly non-religious and egalitarian society. On the other hand, the courtsâ jurisprudence concerning religious exemptions from the principle of non discrimination is in flux, with only a few criteria being set so far.",Degree: MA,PDF file (619k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Legal studies,MA,https://tinyurl.com/legalma2019,2019,50,https://sierra.ceu.edu/record=b1424435,http://www.etd.ceu.edu/2020/stoehr_madeleine.pdf ,"Stoehr, Madeleine Stella",Is the prohibition of modern slavery protecting minors? : an analysis of the United Kingdom and Germany before the backdrop of international human rights law / Madeleine Stella Stoehr,"Budapest : Central European University, 2019",88 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2019/40,English,"Modern slavery is a universal phenomenon and nevertheless is invisible to most people. In 2016, the Global Slavery Index estimated 40,3 million people living in modern slavery globally (71% female and 29% male). Modern slavery is a hidden crime that arises in the present-day society and violates several human rights: The right to human dignity and personal integrity, the prohibition of slavery or servitude, the prohibition of torture or cruel, inhuman or degrading treatment or punishment, etc. Modern slavery is an âumbrella termâ that covers forced labor, sexual exploitation, domestic servitude, debt bondage, human trafficking, descent-based slavery, organ harvesting, or forced and early marriage. This thesis provides an overview of the existing legal response to modern slavery in the United Kingdom, Germany and international human rights law. The main objective of this research is to evaluate the effective protection of minors under the existing legal framework combating modern slavery. It evaluates the issue under the European Court of Human Rights and the United Nations.",Degree: MA,PDF file (890k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Economics,MA,https://tinyurl.com/ecoma2020,2020,4,https://sierra.ceu.edu/record=b1427841,http://www.etd.ceu.edu/2020/bittencourt_glauco.pdf ,"Bittencourt, Glauco Ferreira",The Brazilian labor reforms of 2017 : how does the flexibilization of employment protection legislation affect wages? / Glauco Ferreira Bittencourt,"Budapest : Central European University, 2020",62 p. ; 30 cm,CEU Economics Department master theses ; 2020/2,English,"The purpose of this thesis is to estimate the effects of the Brazilian labor reforms on the average wage of workers. In November 2017, the biggest legislative package of amendments of employment protection legislation (EPL) was enacted in Brazil. Among many revisions, important legislative changes were implemented, such as the abolition of compulsory union contribution; introduction of intermittent contracts; prevail of individual and collective agreements over state legislation; and introduction of a mutual contract termination agreement with a lower severance payment. These legislative changes are assessed to estimate their effects on average wages of workers by using repeated cross-section data and a difference-in-differences methodology with fixed-effects. The identified control group is composed of civil servants and the treatment group is formed of workers in the private sector. The results suggest that loosening employment protection legislation - at least in the Brazilian context - leads to a decrease of average wages in the labor market.",Degree: MA,PDF file (966k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
History,PhD,http://tinyurl.com/ycayjpm, PhD (all years),60,https://sierra.ceu.edu/record=b1427988,http://www.etd.ceu.edu/2020/medzibrodszky_alexandra.pdf ,"Medzibrodszky, Alexandra","Orthodox political theologies : clergy, intelligentsia and social Christianity in revolutionary Russia / Alexandra Medzibrodszky","Budapest : Central European University, 2020",281 p. ; 30 cm.,CEU History Department PhD theses ; 2020/1,Religion and state,Orthodox Eastern Church -- Russia,Orthodox Estern Church and culture,Christian sociology,English,DOI: 10.14754/CEU.2020.08,"The dissertation is the intellectual history of the Orthodox left during the revolutionary years of 1905-8 in Imperial Russia. The research reconstructs debates and dialogues between progressive clergy and radical religious intelligentsia following the massacre of Bloody Sunday on 9 January 1905. The dissertation interprets the visions that emerged in the network of the Orthodox left in the framework of âpolitical theologiesâ. It focuses on three programs and their theo-political language: the Brotherhood of Zealots for Church Renovation; the Christian Brotherhood of Struggle; and the Union of Christian Politics. Members argued that the mutually dependent relationship between the tsar and the people, which served as a political bedrock for the Empire for centuries, was now beyond repair. The bloodshed was perceived as a fundamental break in Russian Orthodox political theory, and the horrible events inspired religious intelligentsia and progressive clergy to theorise about politics and social justice as Orthodox believers. The dissertation identifies the concept of Christian obshchestvennostâ (sociality) as the focal point of all programs that emerged among advocates of the Orthodox left in the period. The concept had palingenetic power, it was meant to reinvigorate the Church and to re-Christianise the whole of fin de siÃ¨cle Russian society. My research argues that the theo-political imagination and language of the Orthodox left was inspired both by Russian Orthodox tradition, in particular by Modern Russian Theology; and by non-Orthodox traditions of social Christianity, but it developed in opposition to the Marxist left. The analysed projects were short-lived due to internal conflicts and repressions by Church and state, but they represent a vibrant chapter in the history of Russian Orthodox social and political thought, reflecting on theo-political concepts that remain central to the Russian Orthodox world up until today.",CEU Doctoral School of History,,PhD,0,1
Environmental sciences,MESPOM,https://tinyurl.com/envmespom2020,2020,12,https://sierra.ceu.edu/record=b1428076,http://www.etd.ceu.edu/2020/black_benjamin.pdf ,"Black, Benjamin Samuel",Assessing the ecological effectiveness of protected areas in Cambodia : a quasi-experimental counterfactual estimation of avoided deforestation / Benjamin Black,"Budapest : Central European University, 2020",209 p. ; 30 cm.,CEU Department of ES MESPOM Programme master theses ; 2020/2,English,"In the face of global environmental change, protected areas (PAs) have become an increasingly important tool in modern conservation, and as such there is a clear imperative to maximise the benefits they provide. In this regard a growing field of interest is the quantification of PA ecological effectiveness, often expressed in terms of avoided deforestation achieved relative to unprotected areas. However, such assessments are confounded by biases in both the non-random siting of PAs within landscapes as well as differential pressure upon their resources. These biases can be overcome by the use of quasi-experimental counterfactual study designs, that evaluate the impact of PAs against control areas of âsimilarâ biophysical and socio-economic characteristics. To contribute towards this knowledge domain this study presents an assessment of PA effectiveness for the Southeast Asian nation Cambodia, which, in light of its history of natural resource management, represents a pertinent case study. PA effectiveness was analysed using propensity score matching for three different outcome periods between 2010-2018 with the results finding significant positive treatment effects in each, with forested land in PAs being as much as 8% less likely to be deforested than similar unprotected forest. In addition to this a significant positive spillover effect of PAs was observed in 5km buffers zones adjacent to their boundaries, resulting in a maximum of 4% reduction in probability of deforestation. Furthermore, the effectiveness of PAs in Cambodia was found to vary under differential deforestation pressure as well as with regards to the duration of time since PA establishment.",Degree: MSc,PDF file (6599k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
School of public policy,MA,https://tinyurl.com/sppma2020,2020,24,https://sierra.ceu.edu/record=b1428443,http://www.etd.ceu.edu/2020/medenica_mirko.pdf ,"Medenica, Mirko",Open border policy and Western Balkans : policy option for regions economic and reform fatigue? / Mirko Medenica,"Budapest : Central European University, 2020",47 p. ; 30 cm.,CEU School of Public Policy master theses ; 2020/15,English,"The Western Balkans region is currently in a political and social vacuum. For two decades, the process of joining the European Union has been a driving force in institutional, political and economic reforms. European enlargement fatigue has led to both economic and reform fatigue in the countries of the region. As a consequence of slowdown of reforms and weak economy, a large number of citizens is emigrating in developed countries. Labor shortages and brain drain are becoming an obstacle to economic development and the region is failing to reach growth rates that would bring it closer to European Union countries. In order to get out of this stalemate, a radical turn is needed, both in terms of initiative for change and in terms of solutions. With the lack of interest of European Union for the region, it is up to countries of the region to take the initiative. The idea of open borders in the region is a possible solution that would alleviate directly the economic and demographic problems and indirectly political problems faced by the countries of the region.",Degree: MA,PDF file (665k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
