department,program,lib_link,year,thesis_in_that_year,thesis_link,pdf_link,Author,Title,Published,Description,Series,Language,Summary,Note,File Type,Local note,Access,System Det,Subject,Alt Title
Sociology,MSc,https://tinyurl.com/socma2020,2020,27,https://sierra.ceu.edu/record=b1429134,http://www.etd.ceu.edu/2020/achitsa_annabella.pdf ,"Mutsiambo, Annabella Analo Achitsa",Remittance-development nexus : the policy and political narratives of migrant remittances in Kenya / Annabella Analo Mutsiambo Achitsa,"Budapest : Central European University, 2020",79 p. ; 30 cm.,CEU Sociology Department master theses ; 2020/1,English,"Traditional remittances are funds transferred by migrants to their country of origin as a form of obligation to financially sustain their dependents back home. Remittances today however have gained increasing exposure from the international, regional and national communities when linked to development of nations. The purpose of this study is to bridge the existing knowledge gap with regard to understanding the ‘journey’ governments in the third world have walked to embrace what started as remittances by migrants to sustain their families in their origin country into a major resource input into the economic, social and political development of these countries. The focus of the study is narrowed down on providing a holistic policy and state representation of migrant remittances as perceived and understood by these developing countries and the remittances received where Kenya is selected as the geographical focus of the study. Utilizing discourse analysis to analyze key documents published by the Kenyan government and others by the Kenyan government in partnership with regional and international organizations, where key features depicting and propagating the policy and political remittances narrative in Kenya were identified. That is, there is a continuous recognition and incorporation of Kenyan migrants into the Kenyan economic, social and political sphere, a created and continuously sustained bounded social space of interaction between Kenyan migrants and the Government of Kenya, and remitting obligations are seen to be changing from traditional moral obligations to market-based remitting. There is also identity creation for migrants by the state through migrant engagement policies, initiatives and national development projects and finally the role Kenya plays in sustaining the remittance – development rhetoric.",Degree: MA,PDF file (1091k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
School of public policy,MA,https://tinyurl.com/sppma2020,2020,24,https://sierra.ceu.edu/record=b1428443,http://www.etd.ceu.edu/2020/medenica_mirko.pdf ,"Medenica, Mirko",Open border policy and Western Balkans : policy option for regions economic and reform fatigue? / Mirko Medenica,"Budapest : Central European University, 2020",47 p. ; 30 cm.,CEU School of Public Policy master theses ; 2020/15,English,"The Western Balkans region is currently in a political and social vacuum. For two decades, the process of joining the European Union has been a driving force in institutional, political and economic reforms. European enlargement fatigue has led to both economic and reform fatigue in the countries of the region. As a consequence of slowdown of reforms and weak economy, a large number of citizens is emigrating in developed countries. Labor shortages and brain drain are becoming an obstacle to economic development and the region is failing to reach growth rates that would bring it closer to European Union countries. In order to get out of this stalemate, a radical turn is needed, both in terms of initiative for change and in terms of solutions. With the lack of interest of European Union for the region, it is up to countries of the region to take the initiative. The idea of open borders in the region is a possible solution that would alleviate directly the economic and demographic problems and indirectly political problems faced by the countries of the region.",Degree: MA,PDF file (665k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Gender studies,MA,https://tinyurl.com/genderma2019,2019,35,https://sierra.ceu.edu/record=b1423196,http://www.etd.ceu.edu/2019/ang_jona-marie.pdf ,"Ang, Jona Marie Pango",Women Overseas Filipino Workers (OFWs) in Hungary : a feminist Global Political Economy (GPE) analysis / Jona Marie Pango Ang,"Budapest : Central European University, 2019",95 p. ; 30 cm.,CEU Gender Studies Department master theses ; 2019/32,English,"This thesis is an exploratory study about women Overseas Filipino Workers (OFWs) that poses the main questions: What factors contributed to the women’s decision to migrate to Hungary? What were the migration-related issues encountered by the women in dealing with the Philippine and Hungarian governments? What are the challenges of living and working in Hungary, and how do Filipina migrant workers address them? How does identity figure in these challenges and the women’s responses to them? In making the above inquiries, the thesis not only broadens the discussion on Filipinas employed abroad in terms of occupation and geographical location, but also challenges essentialist narratives in existing literature on women OFWs. The research was enriched by drawing on the accounts of ten women OFWs in Hungary of different ages, civil status, occupations, and socio-economic backgrounds, with a view to find out as much as possible about their motivations and aspirations. This is important because studies or articles on women OFWs need to account for diverse jobs, personalities, individual circumstances leading to migration, and lived experiences that go beyond abuse, exploitation, or violence to have a fuller view of the women’s complexities.  In order to analyze the information gathered from the women interviewees, a Feminist Global Political Economy (GPE) framework was used. This framework utilizes the feminist perspective to examine the situation of the women OFWs within the global political economy, which involves different actors and elaborate domestic-international, private-public, local-global, and south-north interactions. Concepts from intersectional and post-colonial theories were also incorporated to account for intersecting gender, race, and class identities of Filipinas as women of color, Asians, and “Third World women.”  The thesis will show that “Filipinas” and “overseas Filipina workers” are not homogeneous categories and they have various reasons for leaving the Philippines and residing in Hungary, as well as various ways of responding to challenges posed by transnational labor migration. The women OFWs contend with restrictive state power in the form of regulated entry, residence, and exit, along with the discourse of the Philippine government that constructs them as objects that are naturally meant to be marketed as overseas labor. Filipinas in Hungary deal with gendered and racialized notions of who they are as women, workers, and partners. They also encounter racism and issues with migration and employment. However, In the milieu of neoliberal globalization where state and transnational business interests prevail, the women have had to rely on themselves and their informal networks for survival and development given the lack of support or services offered by the Philippine and Hungarian governments.",Degree: MA,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Mathematics,MA,https://tinyurl.com/mathma2018,2018,3,https://sierra.ceu.edu/record=b1318711,http://www.etd.ceu.edu/2018/mate_balint.pdf ,"Máté, Bálint Ádám",Logarithmic Hodge theory on line bundles / Bálint Ádám Máté,"Budapest : Central European University, 2018",43 p. ; 30 cm.,CEU Department of Mathematics master theses ; 2018/2,English,"This thesis intends to serve as an introduction to Hodge theory in the simplest possible setting: our base manifold is a compact Riemann surface Σ without boundary, the vector bundle E → Σ is the trivial complex line bundle. In this setup the Betti, the de Rham and the Dolbeault groupoids are introduced and their equivalence is investigated. The proof of the equivalence of the de Rham and Dolbeault groupoids uses the existence of harmonic metrics with respect to a connection D on E. The thesis concludes with the generalisation of the existence of such metrics to the case where the connection is no longer smooth but has logarithmic singularities, and the weight of the associated local system vanishes.",Degree: MSc,PDF file (410k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Legal studies,MA,https://tinyurl.com/legalma2019,2019,50,https://sierra.ceu.edu/record=b1424435,http://www.etd.ceu.edu/2020/stoehr_madeleine.pdf ,"Stoehr, Madeleine Stella",Is the prohibition of modern slavery protecting minors? : an analysis of the United Kingdom and Germany before the backdrop of international human rights law / Madeleine Stella Stoehr,"Budapest : Central European University, 2019",88 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2019/40,English,"Modern slavery is a universal phenomenon and nevertheless is invisible to most people. In 2016, the Global Slavery Index estimated 40,3 million people living in modern slavery globally (71% female and 29% male). Modern slavery is a hidden crime that arises in the present-day society and violates several human rights: The right to human dignity and personal integrity, the prohibition of slavery or servitude, the prohibition of torture or cruel, inhuman or degrading treatment or punishment, etc. Modern slavery is an ‘umbrella term’ that covers forced labor, sexual exploitation, domestic servitude, debt bondage, human trafficking, descent-based slavery, organ harvesting, or forced and early marriage. This thesis provides an overview of the existing legal response to modern slavery in the United Kingdom, Germany and international human rights law. The main objective of this research is to evaluate the effective protection of minors under the existing legal framework combating modern slavery. It evaluates the issue under the European Court of Human Rights and the United Nations.",Degree: MA,PDF file (890k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Environmental sciences,MSc,https://tinyurl.com/envma2018,2018,22,https://sierra.ceu.edu/record=b1401928,http://www.etd.ceu.edu/2018/caimanque_daniela.pdf ,"Caimanque, Daniela Cristina",Is the distributed generation law effective? : the case of the Chilean residential solar energy / Daniela Cristina Caimanque,"Budapest : Central European University, 2018",95 p. ; 30 cm.,CEU Department of Environmental Sciences & Policy master theses ; 2018/6,English,"In Chile, the number of projects interconnected by solar photovoltaic (PV) systems under the Law 20571 - Distributed Generation has been increasing over the last years. However, it is not clear whether these improvements are desirable for a country with high irradiation for solar energy. The study aims to develop a better understanding of the deployment of residential solar energy in Chile, focusing on the Distributed Generation Law. The method chosen to pursue this objective comprises two different elements: First, a comparison of the Chilean deployment of residential solar energy with the success case of the State of California. Secondly, a Strengths, Weaknesses, Opportunities and Threats (SWOT) analysis of the Distributed Generation Law. Results show that external factors make the Law more effective than internal factors. External factors detected are: i. Decreasing cost of solar PV systems ii. International awareness about global warming and the promotion of green technologies. In contrast, an internal factor is the Net Billing scheme, because for owners of solar PV systems, the scheme is not economically attractive. Results also confirm that the development of residential solar energy in Chile is increasing, however, is spread is unequal socially and geographically. The recommendation is to transform the solar residential market in Chile in the same way as in the State of California.",Degree: MSc,PDF file (1982k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Sociology,MSc,https://tinyurl.com/socma2019,2019,27,https://sierra.ceu.edu/record=b1419944,http://www.etd.ceu.edu/2019/cankurt_ilkin.pdf ,"Cankurt, Ilkin","The limits of Roma upward mobility : urban agency in the Tuzcu neighborhood of Izmir, Turkey / Ilkin Cankurt","Budapest : Central European University, 2019",61 p. ; 30 cm.,CEU Sociology Department master theses ; 2019/7,English,"This thesis focuses on the constraints and contingencies to upward mobility of Roma in the spatially segregated neighborhood of Tuzcu in Izmir, Turkey. Based on five-month-long ethnographic fieldwork, this thesis shows the spatial dynamics in the neighborhood, where economic change and urban transformation limit career paths and residential mobility. Furthermore, this thesis reveals the effect of neighborhood on habitual dispositions of Tuzcu residents such as language incompetency, taste and gestures which are visible stigma signs of Tuzcu Roma. These aspects crystallize in the accessibility of forms of capital and induces economic poverty and stigmatization that reproduce their position in social space. Within this frame, I firstly explore tactics of Tuzcu Roma concerning poverty, stigmatization and the neighborhood effect. several tactics navigating the infrastructure of the neighborhood and the Turkish welfare system with the purpose of income generation. Other agentic processes include creating social and spatial distance . Regarding stigmatization as the outcome of Tuzcu Roma habitus, I scrutinize impression management of Roma by drawing on Goffmanian passing and covering strategies. Passing through covering emerges as the main strategy both among socially mobile and immobile Tuzcu Roma. When they draw on only iterational elements of stigmatized habitual dispositions, strategies are not successful. On the other hand, effective passing strategies through covering stem from cleft habitus of Tuzcu Roma which make use of projective and practical-evaluative element of the agentic dimension. Therefore, the achieved individual upward mobility does not transform the macro structure.",Degree: MA,PDF file (547k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
History,MA,https://tinyurl.com/historyma2018,2018,17,https://sierra.ceu.edu/record=b1400368,http://www.etd.ceu.edu/2018/lazaroska_ivana.pdf ,"Lazaroska, Ivana","Governing the Muslim communities : the Caliphate and the Kingdom of Serbs, Croats and Slovenes, 1923-1926  / Ivana Lazaroska","Budapest : Central European University, 2018",66 p. ; 30 cm.,CEU History Department master theses ; 2018/7,English,"This thesis examines the relationship between the Muslim communities of Kingdom of Serbs, Croats and Slovenes, and the institution of the Caliphate, between 1923 and 1926. It focuses on two particular events, one in 1923, when a delegation from the Kingdom was send to Istanbul to take an oath of allegiance to the new and last Ottoman Caliph AbdÃ¼lmecid II, and the another in 1926, when the Kingdom prohibited the Muslim communities to attend the Cairo Caliphate Congress. This thesis also shows how much of the Hapsburg and especially Ottoman infrastructure remained in the Kingdom. Transition from empires to a nation- state, as it argues, did not result in a profound break, but was a process that involved continuity. By focusing on, and shedding light to, some of the neglected Ottoman continuities, in this case the relationship with the Caliphate as an institution and idea, the objective of this thesis is to contribute to a scholarship that aims at integrating the Muslims of southeast Europe into scholarly debates about Islam, and reexamines the shared histories between the Middle East and this region.",Degree: MA,PDF file (1019k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Sociology,MSc,https://tinyurl.com/socma2019,2019,27,https://sierra.ceu.edu/record=b1419976,http://www.etd.ceu.edu/2019/udvari_orsolya.pdf ,"Udvari, Orsolya",Ways of seeing the other migration in contemporary Hungarian cinema / Orsolya Udvari,"Budapest : Central European University, 2019",48 p. ; 30 cm.,CEU Sociology Department master theses ; 2019/22,English,"Around 2015, the migration wave had a huge impact in Hungary. The crisis had resulted in the intensification of the migration discourse that was never seen before in the country. A part of this intensification was a strong state campaign that has been built on the crisis: a nationalist and hegemonic rhetoric which was rejective and hostile towards migrants, asylum seekers and refugees. This propaganda spoke about migratory processes in the framework of securitization where the process was understood and mobilized as a threat to the European-Christian culture. This narrative was not only rhetorically but visually outstanding. State financed posters and advertisements represented “the migrant” as a voiceless, faceless, male, violent, dark-skinned person who is not even an individual but exists in a horde-like group of people. Besides of this xenophobic and hostile context, counter-hegemonic narratives emerged not just in the form of social movements but, as I argue, in the artistic-visual field too. In my thesis, I focus on this contemporary counter-discourse of the Hungarian cinema through the lenses of three movies which have a privileged position in the “migration movie” corpus in Hungary, not only because all of them was funded by the state but because they earned nationwide recognition. These movies are The Citizen (2016), Jupiter’s Moon (2017) and Easy Lessons (2018). The first part of my research would like to contextualize these movies with special regard to their socio-political and cultural context. For this, I carry out discourse analysis on the already existing literature. After, I make the analysis of the movies themselves to explore the place of them in the discourse on visual representation and migration after 2015. The main questions of the analysis are how these movies are the part of the counter-discourse, what are those circumstances by the dominant state discourse that could challenge free artistic expression, and in which ways aesthetic and political elements are intertwined in the visual language of these movies. The research would like to answer these questions through the politics of (in)visibility and those artistic instruments that aim to transform the unseen “Other” into visible. Therefore the thesis displays two competing visual attitudes towards the representation of migration: one by the neo-authoritarian state propaganda and another by the contemporary Hungarian cinema.",Degree: MA,PDF file (430k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Economics,MA,https://tinyurl.com/ecoma2020,2020,4,https://sierra.ceu.edu/record=b1427841,http://www.etd.ceu.edu/2020/bittencourt_glauco.pdf ,"Bittencourt, Glauco Ferreira",The Brazilian labor reforms of 2017 : how does the flexibilization of employment protection legislation affect wages? / Glauco Ferreira Bittencourt,"Budapest : Central European University, 2020",62 p. ; 30 cm,CEU Economics Department master theses ; 2020/2,English,"The purpose of this thesis is to estimate the effects of the Brazilian labor reforms on the average wage of workers. In November 2017, the biggest legislative package of amendments of employment protection legislation (EPL) was enacted in Brazil. Among many revisions, important legislative changes were implemented, such as the abolition of compulsory union contribution; introduction of intermittent contracts; prevail of individual and collective agreements over state legislation; and introduction of a mutual contract termination agreement with a lower severance payment. These legislative changes are assessed to estimate their effects on average wages of workers by using repeated cross-section data and a difference-in-differences methodology with fixed-effects. The identified control group is composed of civil servants and the treatment group is formed of workers in the private sector. The results suggest that loosening employment protection legislation - at least in the Brazilian context - leads to a decrease of average wages in the labor market.",Degree: MA,PDF file (966k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Gender studies,MA,https://tinyurl.com/genderma2019,2019,35,https://sierra.ceu.edu/record=b1424390,http://www.etd.ceu.edu/2020/khan_shehreen.pdf ,"Khan, Shehreen Ataur","Bangladeshi food voices from diaspora : narratives of six case studies from the UK, USA and Hungary  / Shehreen Ataur Khan","Budapest : Central European University, 2019",119 p. ; 30 cm.,CEU Gender Studies Department master theses ; 2019/35,English,"This thesis is focused on Bangladeshi culinary representations in the diaspora. The purpose of this research is to gain a better understanding of the Bangladeshi migrants who are involved in the culinary industry. I joined these two strands together and formed the kernel of my dissertation, which is to examine the layers of Bangladeshi migrant identities that are orchestrated through their culinary expressions in diaspora. My dissertation is based on six case studies from the UK, USA, and Hungary. Because of the diverse backgrounds of the case studies, there was an eclectic mix in their culinary projects, and I have analyzed them through the theoretical lens of food histories, food narratives, postcolonial studies, migrant identifies, and oral history. This research reveals how their culinary projects are coming to terms with a new reality, an expression of their hybrid identity, and at the same time, celebrating the connection with their homelands.",Degree: MA,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
IR,MA,https://tinyurl.com/iresma2020,2020,39,https://sierra.ceu.edu/record=b1429232,http://www.etd.ceu.edu/2020/arevalo_kelly.pdf ,"Arévalo, Kelly Johana",The Indian way : a polyvalent rising power / Kelly Arevalo,"Budapest : Central European University, 2020",46 p. ; 30 cm.,CEU International Relations Department master theses ; 2020/5,English,"This dissertation focuses on India’s behavior as a rising power, drawing attention to its relative peaceful rise, to explain why has India charted an emerging course very different from its Eurasian counterparts, Russia and China? India has adopted a foreign policy that differs from the general expectations of orthodox International Relations (IR) theories- those focusing on power transitions and international institutions- that assume India eventually would pursue the modification of the current global order- a revisionist behavior- or perhaps would slightly adjust the institutional order, maintaining the status quo. The three-level analysis of India’s foreign policy from 2001 to 2018, shows that India is taking different pathways depending on the level and realm of geopolitical scope. I argue that India is a polyvalent rising power, demonstrating that India pursued a reactive behavior at the local (South Asia) level, at the regional (Indian Ocean Region) level it was characterized by its engagement, while at the global level its role was active. This dissertation aims to contribute to the understanding of India’s rise and its foreign policy, as well as to offer a different perspective to IR studies on rising powers by showing India’s relevance for the construction of a broader literature.",Degree: MA,PDF file (725k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Political science,MA,https://tinyurl.com/polma2018,2018,43,https://sierra.ceu.edu/record=b1399887,http://www.etd.ceu.edu/2018/davidovic_jovana.pdf ,"Davidovic, Jovana",Unraveling the Black Mountain : authoritarian submission and party preference in Montenegro / Jovana Davidovic,"Budapest : Central European University, 2018",91 p. ; 30 cm.,CEU Political Science Department master theses ; 2018/6,English,"Why some post-communist countries regularly experience democratic overturn of power while others not? Concentrating on the psychological factors that could prevent democratic competitiveness in post-communist area, this thesis investigates the relationship between one particular dimension of authoritarian personality – authoritarian submission, and party preferences in Montenegro - the country that never changed the incumbent government since the breakdown of communism. I adopt a novel approach to tap into the multi-dimensional examination of authoritarianism, concentrating on three dimensions (authoritarian submission, conventionalism, authoritarian aggression) separately. I argue that authoritarian submission, as a psychological construct that stands for obedient relation to political authority and upbringing patterns, has a potential to explain domination of Democratic Party of Socialists – DPS. I test my assumptions using survey research. More precisely, I use two surveys – Montenegrin National Elections Study (2016) – MNES, and a self-designed student survey (2018). Notwithstanding the Montenegrin/Serb ethnic cleavage that remains significant, findings from both analyses confirm that submissive tendencies are relevant for voting this party, thus emphasizing the relevance of psychological factors for the democratic potential of post-communist countries.",,PDF file (1630k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Environmental sciences,MSc,https://tinyurl.com/envma2020,2020,15,https://sierra.ceu.edu/record=b1429392,http://www.etd.ceu.edu/2020/halevi_adina-shira.pdf ,"Halevi, Adina Shira",Surviving the drought : a comparative study of water security in Israel and Cape Town / Adina Shira Halevi,"Budapest : Central European University, 2020",139 p. ; 30 cm.,CEU Department of Environmental Sciences & Policy master theses ; 2020/8,English,"Securing water on national and municipal levels is becoming more challenging all around the globe, due mainly to climate change and population growth. In 2018, the City of Cape Town – following its worst drought in a century – nearly became the first city of its size to run out of water. At the same time, Israel – a country with a climate similar to that of Cape Town – was also experiencing severe drought. In contrast, Israel showed the exact opposite trend, achieving water security despite these adverse conditions. This paper therefore aims to understand why the water security outcomes for these two regions were so different, given the similar circumstances. The method used for conducting the research is a comparative analysis, examining the threats to water security that both regions face, and how water security is approached. Findings showed that there are several reasons for the differing outcomes. Cape Town faced several challenges that Israel did not, such as the Apartheid and severe poverty; however, it seems that the challenges Israel did face -- such as large immigration waves and settling the desert made Israel’s water sector more resilient overall. This was thanks to the development of management practices such as supply augmentation via large-scale seawater desalination, utilizing treated wastewater, developing efficient agriculture technologies. Cape Town’s water management practices are far less comprehensive and developed. Additional findings show that Israel has prepared for climate change better than CoCT, a practice that may have influenced preparedness for surviving the drought.",Degree: MSc,PDF file (3733k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Environmental sciences,MSc,https://tinyurl.com/envma2018,2018,22,https://sierra.ceu.edu/record=b1401947,http://www.etd.ceu.edu/2018/tofiloski_slobodan.pdf ,"Tofiloski, Slobodan",Geospatial analysis of water-associated infectious diseases : case of Myanmar / Slobodan Tofiloski,"Budapest : Central European University, 2018",107 p. ; 30 cm.,CEU Department of Environmental Sciences & Policy master theses ; 2018/20,English,"Water can serve as a medium for pathogenic organisms, posing substantial health treats to humans through the variety of pathways. Water-associated infectious diseases are a major cause of morbidity and mortality in Myanmar. The recent environmental and social changes in Myanmar have significant influence over water-associated infectious diseases and it is expected for that trend to continue in future. Alterations in climate factors, human migration caused by several ongoing armed conflicts, low levels of sanitation, difficult access to clean drinking water, increased agricultural practices and industrialization; all of them can change the patterns of distribution, emergence, and re-emergence of the water-associated infectious diseases in Myanmar. This research utilizes the social and environmental determinants mentioned above and water-associated prevalence data in conjunction with a GIS analysis method, to present the distribution and risk of the water-associated diseases in Myanmar and their relation with diverse factors. The results show that Yangon has the highest number of waterborne diseases outbreaks and second highest number of water-related diseases outbreaks. Results also show that there is specific interconnected influence of different factors, with some of them dominating in certain states or regions.",Degree: MSc,PDF file (2730k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
IR,MA,https://tinyurl.com/iresma2019,2019,40,https://sierra.ceu.edu/record=b1421604,http://www.etd.ceu.edu/2019/simic_jovana.pdf ,"Simic, Jovana",Does this drone match my outfit? : challenges to United States self-identity in the age of autonomous weapons  / Jovana Simic,"Budapest : Central European University, 2019",68 p. ; 30 cm.,CEU International Relations Department master theses ; 2019/33,English,"In the age of ever bigger dominance of the robotics over the realm of human activities, one of the most problematic aspects of it is visible in warfare. In order to keep it humane and in the line with the law of war, politics, civil society and academia participate in the debate which delineates the limits and conditions of the use of autonomous weapon systems (AWS). United Statesâ€™ army is one of the most active when it comes to usage of autonomous weapons, still manned by distant operators. US often uses it in counterterrorist endeavors, but criticisms and debates over the legality and the morality of the use do not stop. As the US is a country which claims to hold itself to the highest standards of lawfulness and morality, this research aims to look at how use of autonomous weapons has been accommodated into this narrative and whether autonomous weapons are a threat to the US vision of the Self. This will be done through the lens of ontological security theory, while employing the literature on military ethics and AWS. Preliminary, thesis shows that the AWS narrative is well accommodated into the US narrative of the Self, but it also show that it is challenged from the aspect of evolution of military ethics under AWS.",Degree: MA,PDF file (845k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Medieval studies,MA,https://tinyurl.com/medma2019,2019,20,https://sierra.ceu.edu/record=b1422682,http://www.etd.ceu.edu/2019/zacelici_armand.pdf ,"Zacelici, Armand","The Heirmologion Br. 23 of the Central State Archive of Tirana, Albani : in comparison with the contemporary heirmological tradition (repertory and notation) / Armand Zacelici","Budapest : Central European University, 2019",336 p. ; 30 cm.,CEU Medieval Studies Department master theses ; 2019/20,English,"This thesis focuses on the study of the Heirmologion Berat 23 (Br. 23), an atypical musical manuscript of the Middle Byzantine period preserved in the CSA of Albania. This manuscript, written by Mihail Slavopulos in 1292, shows a specific form of organization which distinguishes it from other Heirmologia of the same period. Moreover, the arrangement of the odes within an Akolouthia (service) seems to be a form of ‘deviance’ from the traditional Heirmologia. The purpose of this study is to delineate the position of Br. 23 among Middle Byzantine Heirmologia through both a systematic description and a comparison with two other Heirmologia of the same period, E. γ. ΙΙ of Grottaferrata and Iviron 470 of Mount Athos. A detailed examination is made on a repertory of liturgical chants in Mode I – text and neumatic notation - which is common for the three manuscripts. Even though an interdisciplinary study, the central point of this thesis is the interpretation of Middle-Byzantine neumatic notation in relation to its liturgical context. This interpretation aims at providing and establishing a theoretical conception which can serve as a guide for further researches on Middle Byzantine Heirmologia.",Degree: MA,PDF file (11425k),ETD,Unrestricted,,,
Legal studies,MA,https://tinyurl.com/legalma2020,2020,78,https://sierra.ceu.edu/record=b1429077,http://www.etd.ceu.edu/2020/tarkhnishvili_keteva.pdf ,"Tarkhnishvili, Ketevan",Enforcement of international mediated settlement agreements under Singapore Convention in comparison to enforcement of international arbitration awards under New York Convention / Ketevan Tarkhnishvili,"Budapest : Central European University, 2020",37 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2020/72,English,"The most essential motivation for adoption of Singapore Convention was to establish something similar for mediation as New York Convention is for arbitration. The most important achievement of international arbitration compare to international mediation has always been considered its predictability and the guarantees of enforcement. However, after appearance of Singapore Convention, the international mediation has the perspective to reach the same heights as international arbitration does. Accordingly, the intend of the research is to find out, whether the application of Singapore Convention can potentially become as widely used and as successful as it is in case of New York Convention. For the mentioned purpose the paper provides the comparative analyzes of core provisions such as scope for application, general principles and reservations of Singapore Convention in compare to the similar Articles under New York Convention. The paper also compares the main terminological differences and its backgrounds in those two Conventions.",Degree: MA,PDF file (722k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Sociology,MSc,https://tinyurl.com/socma2018,2018,22,https://sierra.ceu.edu/record=b1399151,http://www.etd.ceu.edu/2018/nanda_preetika.pdf ,"Nanda, Preetika",An archive of witnessing : unraveling the Indian state through memoryscapes of Punjab / Preetika Nanda,"Budapest : Central European University, 2018",77 p. ; 30 cm.,CEU Sociology Department master theses ; 2018/4,English,"This thesis is about Punjab- a border state in northern India which was embroiled in heightened violent conflict from 1984 to 1995. Through this research, I attempt to study the Indian state from the vantage point of two memoryscapes: the dominant/national memory vis-à-vis Punjab and the collective/counter memory formations of the Sikh community in Punjab. In doing so this thesis will look at the proceedings of the National Human Rights Commission and its treatment of mass atrocities in Punjab through Foucauldian biopolitics and governmentality. The ‘meta-archive’ of NHRC’s case file reiterates the popular and totalizing discourse on counter-insurgency war in Punjab, as a “defeat of terrorism” , a restoration of order and normalcy. It is imbued with power to effectively elide and depoliticize social suffering, shaping societal opinion and a replication of its institutional practice. Latter half, of the thesis delves into the bloodied ramifications on the life worlds of the People of Punjab, a fragment of which I have tried to recover by wording their memories and embodied experiences. Beginning from reflections on brief vignettes on collective memory and its manifestation in things people preserve, I extend Foucault’s concept of counter-memory to counter-archives and look at documentation as sites of potential resistance. In the last section, I delineate the relationship between space, violence and memory, followed by an illustrative account on performing memorialization in sacred space and potential for protest.",Degree: MA,PDF file (1052k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Legal studies,MA,https://tinyurl.com/legalma2018,2018,60,https://sierra.ceu.edu/record=b1405852,http://www.etd.ceu.edu/2019/taba_szabolcs.pdf ,"Taba, Szabolcs Sándor",Protection orders as tools of defending women victims of domestic violence in light of the European standards : Austria and Hungary / Szabolcs Sándor Taba,"Budapest : Central European University, 2018",133 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2018/51,English,"The thesis aims at presenting the role of protection orders as tools of defending victims of domestic violence against women. It assesses the development and the significance of these measures in the context of states’ due diligence obligation. It provides an analysis of the relevant case law of the European Court of Human Rights and the Court of Justice of the European Union, and defines the cornerstones of the protection level to be provided by the state. It presents and compares the rules in force in Austria and in Hungary and identifies their weaknesses. It argues that the objective of the protection orders of providing prompt assistance for victims is undoubted. However, as can be seen in practice, the legal provisions and their realization is often incomprehensibly far from the intended goals as if the legislator had not understood the essence of the issue. Without improvement, some of the rules are nothing more than just providing the opportunity for the state of claiming the completion of one of its international obligations. In order for the protection orders effectively to fulfil their mission, states, officials of law enforcement authorities and even ordinary citizens must realize the deep-rooted nature of violence against women. Therefore, not only the rules and the practice of the authorities should be improved, but people’s mindset also has to be altered for attaining the objectives pursued. This positive change should be facilitated by the state itself which would presumably have repercussions on the legislator’s approach.",Degree: MA,PDF file (1782k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Economics,MA,https://tinyurl.com/ecoma2019,2019,72,https://sierra.ceu.edu/record=b1423159,http://www.etd.ceu.edu/2019/niranjan_nikitha.pdf ,"Niranjan, Nikitha",ServiceNow analytics : for IT higher management / Nikitha Niranjan,"Budapest : Central European University, 2019",11 p. ; 30 cm.,CEU Economics Department master theses ; 2019/58,English,"The client company receives multiple service desk tickets. They would like to create multiple dashboards, which can visually explain the ticketing behavior. This would help them to identify the pain points and provide better quality of service to their users. The customers instead of a separate dedicated IT team can directly analyze power BI. This would help the Management to reduce some analysis cost and provide best Business decisions to the stakeholders. This project would include visualization of data specific to ServiceNow in a graphical way using Power BI. It would aim to have six dashboard which would give a clear picture of incident behavior to the following audiences: 1) Chief Information Officer – One dashboard 2) TCS Management – Three dashboards 3) Country Manager – Two dashboard",Degree: MA,PDF file (515k),Capstone project,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
